Authors,Title,Year,Cited by,Link,Abstract,Author Keywords,Index Keywords
"Zhang X., Wang J., Gao Y.",A hybrid short-term electricity price forecasting framework: Cuckoo search-based feature selection with singular spectrum analysis and SVM,2019,30.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067584168&doi=10.1016%2fj.eneco.2019.05.026&partnerID=40&md5=48a4d1342296d134149dc66c098eadc6,"Under the liberalization and deregulation of the power industry, price forecasting has become a cornerstone for market participants' decision-making such as bidding strategies and purchase plans. However, the exclusive nonlinearity dynamics of electricity price is a challenge problem that largely affects forecasting accuracy. To address this task, this paper presents a hybrid forecasting framework for short-term electricity price forecasting by exploiting and mining the important information hidden in the electricity price signal. Moreover, a hybrid feature selection method (HFS) is introduced into the forecasting strategy. To exhibit the dynamical characteristics of electricity price, we primarily perform a singular spectrum analysis (SSA)-based systematic analysis process by using the merit of SSA and analyzing the multiple seasonal patterns of short-term electricity price series, providing a meaningful representation of the hidden patterns and time-varying volatility of electricity price series. Aiming at selecting the key features, the candidate variables are constructed considering the dynamic behavior of price series; further, to capture the optimal features from the candidates, the correlation threshold θ is defined for the adjustable parameters in HFS and optimally determined by the intelligent search algorithm. Additionally, triangulation based on the Pearson, Spearman and Kendall rank correlation coefficient is performed to strengthen the reliability of the proposed method. The proposed hybrid forecasting framework is validated in the New South Wales electricity market, which demonstrates that the developed approach is truly better than the benchmark models used and a reliable and promising tool for short-term electricity price forecasting. © 2019 Elsevier B.V.",Hybrid feature selection; Hybrid forecasting; Key features; Price forecasting; Singular spectrum analysis,Commerce; Decision making; Deregulation; Feature extraction; Forecasting; Optimization; Spectrum analysis; Time series analysis; Hybrid feature selections; Hybrid forecasting; Key feature; Price forecasting; Singular spectrum analysis; Power markets; algorithm; correlation; electricity supply; energy market; forecasting method; price dynamics; spectral analysis; support vector machine
"Anbazhagan S., Kumarappan N.",Day-ahead deregulated electricity market price classification using neural network input featured by DCT,2012,29.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857191183&doi=10.1016%2fj.ijepes.2011.12.011&partnerID=40&md5=8f38200b394d5cc82cce3b9c1fa7190d,"The optimal profit is determined by applying a perfect price forecast. A price forecast with a less prediction errors, yields maximum profits for market players. The numerical electricity price forecasting is high in forecasting errors of various approaches. In this paper, discrete cosine transforms (DCTs) based neural network (NN) approach (DCT-NN) is used to classify the electricity markets of mainland Spain and New York are presented. These electricity price classifications are important because all market participants do not to know the exact value of future prices in their decision-making process. In this paper, classifications of electricity market prices with respect to pre-specified electricity price threshold are used. In this proposed approach, all time series (historical price series) are transformed from time domain to frequency domain using DCT. These discriminative spectral co-efficient forms the set of input features and are classified using NN. The price classification NN and the proposed DCT-NN were developed and compared to check the performance. The simulation results show that the proposed method provides a better and efficient method for day-ahead deregulated electricity market price classification. © 2011 Elsevier Ltd. All rights reserved.",Discrete cosine transforms; Electricity market; Electricity price classification; Neural network; Price forecasting,Decision making process; Deregulated electricity market; Electricity market; Electricity price forecasting; Electricity prices; Forecasting error; Frequency domains; Input features; Market participants; Market players; New York; Prediction errors; Price forecasting; Price forecasts; Time domain; Commerce; Discrete cosine transforms; Electric industry; Electric load forecasting; Electricity; Forecasting; Neural networks; Profitability; Time domain analysis; Costs
"Ratti R.A., Seol Y., Yoon K.H.",Relative energy price and investment by European firms,2011,29.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052147640&doi=10.1016%2fj.eneco.2010.12.010&partnerID=40&md5=0421b8b0b275e6231014980731e1d79f,"A dynamic model of investment is estimated with data on non-financial firms in 15 European countries across 25 industries over 1991-2006. A rise in real energy price reduces the degree of persistence in the investment adjustment cost function. Panel results suggest that in manufacturing a 1% rise in real energy price reduces investment by a country's firms by 1.9% relative to that by firms in other countries with a smaller effect for non-manufacturing firms. The negative effect of a higher relative price of energy on firm-level investment is significantly less marked the larger the firm. Results imply that stabilizing the relative price of energy would steady firm investment with greater gains in stability at smaller and medium sized firms. Results are robust to consideration of country business cycle effect and firm leverage. Estimation of investment is based on the Euler equation approach with over 21,000 observations. Individual country regressions imply that a rise in the relative price of energy price has a statistically significant negative effect on firm-level investment in 14 out of 15 countries. To avoid dynamic panel bias estimation is by generalized method of moments with instrumental variables. © 2010 Elsevier B.V.",Dynamic investment model; Energy price; European firms,Adjustment costs; Bias estimation; Business cycles; Dynamic panels; Energy prices; European Countries; European firms; Generalized Method of Moments; Instrumental variables; Investment models; Medium sized firms; Relative energies; Relative prices; Costs; Economics; Euler equations; Industry; Manufacture; Method of moments; Investments; business cycle; energy market; investment; manufacturing; numerical model; price dynamics; Europe
"Pandey S.N., Tapaswi S., Srivastava L.",Nodal congestion price estimation in spot power market using artificial neural network,2008,29.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39349085400&doi=10.1049%2fiet-gtd%3a20070309&partnerID=40&md5=be7bc4e1b545b6fc5247f96580325a5f,"In the world wide increasing trend of restructured power system, open access in transmission system and competition in generation and distribution have introduced a frequently occurring problem of congestion. To establish a proficient price-based congestion management procedure, the nodal pricing strategy is found to be appropriate. From congestion management point of view, the optimal nodal prices are comprised of two basic components. First component is locational marginal price, that is marginal cost of generation to supply load and transmission losses both. Second component is nodal congestion price (NCP), that is the charges to maintain network security. Levenberg-Marquardt algorithm based neural network (LMANN) for estimating NCPs in spot power market by dividing the whole power system into various congestion zones is presented. Euclidian distance based clustering technique has been applied for feature selection before employing LMANN. The purpose of using artificial neural network (ANN) based approach for NCP estimation in spot power market is to exploit the tolerance for any missing or partially corrupted data to achieve tractability, robustness and very fast solution. The proposed ANN method also handles the congestion price volatility by taking continuously varying load and constrained transmission into account. The information provided by the proposed method regarding the formation of different congestion zones and the severity of congestion within a zone instructs both the market participants as well as independent system operator in making effective decisions. The proposed method has been examined for an RTS 24-bus system and is found to be quite promising. © The Institution of Engineering and Technology 2008.",,Algorithms; Cost accounting; Electric power systems; Problem solving; Robustness (control systems); Congestion price estimation; Nodal congestion price (NCP); Nodal pricing strategy; Neural networks
"Genc T.S., Sen S.",An analysis of capacity and price trajectories for the Ontario electricity market using dynamic Nash equilibrium under uncertainty,2008,28.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35548951253&doi=10.1016%2fj.eneco.2007.02.005&partnerID=40&md5=237105da2ed961d0c17b24c7f097c865,"This paper studies investments in the Ontario Electricity Market which is currently being restructured. Our methodology is based on the concept of S-adapted open-loop Nash equilibrium. We examine the evolution of capital investments and pricing behavior of suppliers as uncertain electricity demand evolves over time (in Ontario). This study is particularly interesting since we compare the implications of two policies: (i) the current setting in which Ontario Power Generation (OPG) retains its generation units; (ii) the policy (set up in 2003) that required the divestiture of the largest supplier, OPG, and aimed to increase the number of independent suppliers in Ontario. We mainly focus on the independent generators like Bruce Nuclear. We use the tools of Stochastic Programming to compute the S-adapted open-loop Nash equilibrium market outcomes. We find that in the three-player market total capacity installation and market prices are higher than the ones in the five-player market. That is higher capacity may not necessarily alleviate exercise of market power. We also confirm the prediction by the National Energy Board that in a market with five major players, OPG's market share may reduce to a percentage between 35% and 40%. © 2007 Elsevier B.V. All rights reserved.",Capacity investment; Dynamic game; Electricity markets; Uncertainty,Cost effectiveness; Electric power generation; Investments; Marketing; Capacity investment; Dynamic game; Electricity markets; Electric utilities; energy market; game theory; methodology; power generation; stochasticity; uncertainty analysis; Canada; North America; Ontario [Canada]
"Romanchenko D., Odenberger M., Göransson L., Johnsson F.","Impact of electricity price fluctuations on the operation of district heating systems: A case study of district heating in GÖteborg, Sweden",2017,27.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021711347&doi=10.1016%2fj.apenergy.2017.06.092&partnerID=40&md5=78882c67f31dda153df002812763c546,"This paper investigates the characteristics of interaction between district heating (DH) systems and the electricity system, induced by present and future price curves of the electricity system. A mixed integer linear programming unit commitment model has been developed with the objective of studying optimal operating strategies for DH systems. The model minimises the total operating cost of heat generation for a given DH system, which in this work is exemplified by the DH system of Göteborg, Sweden. The results should have important implications for operating strategies for DH systems as a response to future electricity price development. The results indicate significant changes in the operation of heat generation units in DH systems as a response to future electricity price profile with a, relative to today, high yearly average electricity price and more frequent high-electricity-price periods. The observed changes include a 20% decrease in heat generation from heat pumps (HP) and an increase of up to 25% in heat generation from combined heat and power (CHP) plants, owing to a switch in the merit order of these two technologies. We show that large fluctuations in the electricity price lead to an increased value being placed on CHP plants with variable power-to-heat ratio. The results indicate that with reoccurring high-electricity-price periods the value of sold electricity alone can become high enough to motivate investment in CHP plants, i.e. indicating that the generation and selling of heat from CHP plants may not be the core business in the future. Furthermore, there are additional opportunities for increased value of both CHP plants and HPs for time periods of less than 48 h, given that such short duration periods can be identified in a reasonable time in advance, i.e. dependent on, for instance, wind power forecasts. © 2017 Elsevier Ltd",Combined heat and power (CHP); District heating (DH); Flexibility; Heat pumps (HP); Modelling; Optimisation,Cogeneration plants; Costs; Heat generation; Heat pump systems; Heating; Integer programming; Investments; Models; Wind power; Combined heat and power; District heating system; Electricity price fluctuation; Flexibility; Heat pumps; Mixed integer linear programming; Optimisations; Wind power forecast; District heating; business; combined heat and power; cost analysis; energy market; heat production; investment; linear programing; modeling; numerical model; operations technology; optimization; price dynamics; pump; wind power; Goteborg; Sweden; Vastra Gotaland; Chandipura virus
"Gharesifard B., Başar T., Domínguez-García A.D.",Price-based coordinated aggregation of networked distributed energy resources,2016,27.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990985780&doi=10.1109%2fTAC.2015.2504964&partnerID=40&md5=7eaa2bfd0577fc92a3dcb171d7b63d14,"In this paper, we introduce a framework for studying the aggregated response for energy provision/consumption processes by distributed energy resources (DERs) that are physically connected to an electric power distribution network. In this framework, there is a set of agents referred to as aggregators that participate in a real-time energy market by submitting offers to sell, or bids to buy, a certain amount of energy at some price. To realize an offer or a bid, an aggregator interacts with a set of DERs and incentivizes them to produce (or consume) energy via some pricing strategy. In order to make a decision on whether or not to sell or buy energy, each DER uses the pricing information provided by the aggregator it is associated with, and some estimate of the average (or total) energy that neighboring DERs are willing to sell or buy, computed through some exchange of information among them through a cyber network; the topology of this cyber network is described by a connected undirected graph. The focus of this paper is on the DER strategic decision-making process, which we cast as a game with a single aggregator. In this context, we provide sufficient conditions on the aggregator's pricing strategy under which this game has a unique Nash equilibrium. Then, we propose a distributed algorithm that enables the DERs to seek this Nash equilibrium; this algorithm relies on simple computations using local information acquired through exchange of information with neighboring DERs. We illustrate our results through several numerical simulations. © 2015 IEEE.",Distributed energy resources; Distributed generation control; Distributed Nash seeking; Networked systems,Computation theory; Costs; Decision making; Electric power distribution; Game theory; Networked control systems; Sales; Topology; Distributed Energy Resources; Distributed Nash seeking; Exchange of information; Local information; Networked systems; Pricing strategy; Strategic decision making; Undirected graph; Energy resources
"Gullì F., Balbo A.L.",The impact of intermittently renewable energy on Italian wholesale electricity prices: Additional benefits or additional costs?,2015,27.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930062090&doi=10.1016%2fj.enpol.2015.04.001&partnerID=40&md5=b12a9281cda9a5642d39aaa1797d392b,"Most studies of the literature find that the development of renewable energy sources determines a decrease in the wholesale prices. Some authors use this finding to state that the current subsidies for renewable technologies cannot be considered as excessive. By carrying out a hybrid analysis (both simulation and ex-post empirical analyses) of the case of photovoltaic energy in Italy, this article demonstrates that this result cannot be generalised. Under market power, an increase in PV production can provide benefits in terms of a wholesale price decrease only beyond a specific threshold and especially if combined with other effects. Otherwise, it is likely that PV development could imply an increase in prices. Therefore, on the one hand, caution is necessary when using the estimated change in wholesale prices to evaluate the net cost for consumers of the supporting policies for renewables: either the simulation-based models or the full empirical analyses may be misleading. On the other hand, if ""decarbonisation"" is the main objective, the energy policies should be designed in order to assure a deep and balanced penetration of the clean technologies, regardless of their estimated transitory impact on wholesale prices (and in the meantime reviewing the organisation of power markets). © 2015 Elsevier Ltd.",Electricity; Market power; Prices; Renewable,Commerce; Cost benefit analysis; Electricity; Power markets; Renewable energy resources; Market Power; Photovoltaic energy; Prices; Renewable; Renewable energy source; Renewable technology; Simulation-based models; Wholesale electricity; Costs; alternative energy; electricity supply; energy market; photovoltaic system; price dynamics; renewable resource; Italy
"Mathaba T., Xia X., Zhang J.",Analysing the economic benefit of electricity price forecast in industrial load scheduling,2014,26.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903616006&doi=10.1016%2fj.epsr.2014.05.008&partnerID=40&md5=9c220610041662fca54efaa1011662c5,"The current trend of electricity market deregulation ushers in increasingly dynamic electricity pricing schemes. The cost-optimal scheduling of industrial loads with accurate price forecasts is therefore important. However, results in the current literature suggest that mean absolute percentage error (MAPE) is poor at indicating the economic benefit of a forecast. This paper presents the economic benefit analysis of electricity price forecast on the day-ahead scheduling of load-shifting industrial plants. A coal-conveying system with storage is used as a case study. The research uses three price forecasting methods on the PJM's market prices over a period of two years. Rank correlation (RC) between the predicted price and the actual price is proposed as an indicator of economic benefit. The results show that RC is a better indicator of economic benefit than root mean square error (RMSE) and MAPE. They also show that potential economic benefit obtainable from forecasts depends on price volatility and not mean price. An artificial forecast is used to validate the superiority of RC over MAPE and RMSE. It is observed that the predictability of a forecast's economic benefit is largely dependent on how responsive the load is to electricity price changes. © 2014 Elsevier B.V.",Conveyor belt system; Day-ahead scheduling; Demand-side management; Electricity cost optimization; Price forecast; Rank correlation,Belt conveyors; Coal storage; Costs; Electric utilities; Electricity; Forecasting; Industrial plants; Mean square error; Scheduling; Conveyor belt system; Day-ahead scheduling; Demand side managements; Electricity costs; Price forecasts; Rank correlation; Electric load forecasting
"Rubin O.D., Babcock B.A.",The impact of expansion of wind power capacity and pricing methods on the efficiency of deregulated electricity markets,2013,26.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883295586&doi=10.1016%2fj.energy.2013.07.020&partnerID=40&md5=07f0492f3dbb330451101e396e5f5045,"The remarkable expansion of global wind power capacity in many countries brings forward several key economic questions regarding the performance of impacted electricity markets. Wind forecast uncertainties and rules that penalize scheduling deviations often discourage wind energy producers from participating in day-ahead electricity markets. Instead, wind energy commonly is priced either in the real-time balancing market or via a Feed-in-tariff (FIT) arrangement. In this paper we extend a recently developed equilibrium modeling approach to examine how the integration of wind energy impacts premiums in day-ahead electricity markets. In particular, we compare premiums as wind power capacity expands for different pricing mechanisms. By considering operational costs related to ramping conventional generators we are able to characterize the efficient level of premium needed to cope with the intermittent nature of wind. We find that the way that wind energy is priced is critical. We show that in the presence of imperfect competition pricing wind energy in the market increases firms' ability to extract oversized day-ahead premiums while in the case of market-independent FIT, market power is reduced as wind power capacity expands. © 2013 Elsevier Ltd.",Cournot competition; Day-ahead premium; Deregulated electricity markets; Feed-in-tariff; Wind energy,Commerce; Competition; Costs; Weather forecasting; Conventional generators; Cournot competition; Day-ahead; Day-ahead electricity market; Deregulated electricity market; Equilibrium modeling; Feed-in tariff; Imperfect competition; Wind power; competition (economics); cost-benefit analysis; deregulation; electricity supply; energy efficiency; numerical model; pricing policy; renewable resource; tariff structure; wind power
"Saxena A., Soni B.P., Kumar R., Gupta V.",Intelligent Grey Wolf Optimizer – Development and application for strategic bidding in uniform price spot energy market,2018,25.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046089551&doi=10.1016%2fj.asoc.2018.04.018&partnerID=40&md5=1630be7b7a9a5ceb3e02cc4ca38f9c0b,"Restructuring of power system has enabled generating companies to sell the power in energy markets. To avail maximum profit, every generating company frame strategies and bid in competitive energy markets. Prediction of rival behavior and information of future energy price is a major difficulty, while exercising the profit making strategies. A powerful optimization tool is required to handle the profit maximization process in dynamically changing market; keeping this fact in consideration, a new variant of Grey Wolf Optimizer (GWO) named as Intelligent Grey Wolf Optimizer (IGWO) is proposed. This variant employs two mathematical frameworks first an efficient sinusoidal truncated function and another one is oppositional based learning concept for ensuring the better exploration and exploitation properties. The accuracy of IGWO is tested and compared with other contemporary algorithms on 22 benchmark functions. Once proved, the proposed algorithm is applied for framing bidding strategy in uniform and dynamically changing market conditions. The results of IGWO are compared with GWO, oppositional-GWO (OGWO) and PSO. The rivals behaviors are modeled through normal distribution of the bids and two cost models are prepared. Further, Monte Carlo simulations are performed. It is observed that profit obtained from IGWO is more from OGWO, GWO and PSO for both a single trading hour and a trading day. A considerable amount of profit can be earned by a generation company by employing proposed methodology. © 2018 Elsevier B.V.",Bidding strategies; Electricity market; Grey wolf optimization; Market clearing price; Monte Carlo simulation,Commerce; Costs; Electric power generation; Functions; Intelligent systems; Monte Carlo methods; Normal distribution; Particle swarm optimization (PSO); Profitability; Bidding strategy; Contemporary algorithms; Development and applications; Exploration and exploitation; Generating companies; Generation companies; Market Clearing Price; Mathematical frameworks; Power markets
"Huang X., Hong S.H., Li Y.",Hour-Ahead Price Based Energy Management Scheme for Industrial Facilities,2017,25.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040115708&doi=10.1109%2fTII.2017.2711648&partnerID=40&md5=a138364730182e92dd3f4d16669e580c,"Price-based demand response (PBDR) offers a significant opportunity for electricity consumers to dynamically balance their energy demand in response to time-varying electricity prices, and therefore ease the burden on the grid during peak times. However, despite being the primary energy consumers, there is little research carried out on implementing PBDR in industrial facilities, especially on real-time price (RTP) based DR. In this study, we propose a DR scheme based on hour-ahead RTP for industrial facilities. The scheme implements an artificial neural network based price forecasting model to forecast unknown future prices to support global time horizon optimization. Based on the forecasting price, the energy cost minimization problem is formulated by mixed integer linear programming. This paper includes a practical case study of the whole process of steel powder manufacturing for performance analysis. The results show that the proposed scheme is capable of balancing the energy demand and reducing energy costs while satisfying production targets. © 2005-2012 IEEE.",Artificial neural network (ANN); demand response (DR); hour-ahead real-time price (HA-RTP); industrial facilities; price forecasting,Energy management; Forecasting; Industrial research; Integer programming; Neural networks; Power markets; Demand response; Electricity consumers; Energy management schemes; Industrial facilities; Mixed integer linear programming; Price forecasting; Real-time price; Time-varying electricity prices; Costs
"Gaudard L., Gabbi J., Bauder A., Romerio F.",Long-term Uncertainty of Hydropower Revenue Due to Climate Change and Electricity Prices,2016,25.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957433017&doi=10.1007%2fs11269-015-1216-3&partnerID=40&md5=5d95405dfab83102336b436003e33197,"Hydropower represents the world’s largest renewable energy source. As a flexible technology, it enhances reliability and security of the electricity system. However, climate change and market liberalization may hinder investment due to the evolution of water runoffs and electricity prices. Both alter expected revenue and bring uncertainty. It increases risk and deters investment. Our research assesses how climate change and market fluctuation affect annual revenue. But this paper focuses on the uncertainty, rather than on forecasting. This transdisciplinary topic is investigated by means of a mixed method, i.e. both quantitative and qualitative. The quantitative approach uses established models in natural sciences and economics. The uncertainty is accounted for by applying various scenarios and various datasets coming from different models. Based on those results, uncertainty is discussed through an analysis discerning three dimensions of uncertainty. Uncertainty analysis requires the assessment of a large panel of models and data sets. It is therefore rarely carried out. The originality of the paper also lies on the combination of quantitative established models with a qualitative analysis. The results surprisingly show that the greenhouse gas scenarios may in fact represent a low source of uncertainty, unlike electricity prices. Like forecasting, the main uncertainties are actually case study related and depend on the investigated variables. It is also shown that the nature of uncertainty evolves. Runoff uncertainty goes from variability, i.e. inherent randomness, to epistemic, i.e. limitation of science. The reverse situation occurs with the electricity price. The implications for scientists and policy makers are discussed. © 2016, The Author(s).",Electricity market liberalization; Mixed methodology; Mountain hydrology; three-dimensional uncertainty,Climate change; Commerce; Costs; Economics; Greenhouse gases; Hydroelectric power; Investments; Power markets; Renewable energy resources; Runoff; Flexible technologies; Market fluctuations; Market liberalization; Mixed methodology; Mountain hydrology; Qualitative analysis; Quantitative approach; Renewable energy source; Uncertainty analysis; alternative energy; climate change; commodity price; electricity industry; hydroelectric power; investment; renewable resource; runoff; uncertainty analysis
"Anbazhagan S., Kumarappan N.",A neural network approach to day-ahead deregulated electricity market prices classification,2012,24.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857042156&doi=10.1016%2fj.epsr.2011.12.011&partnerID=40&md5=8dc6a3121dd3d5279bca0040b1858d63,"This paper proposes a day-ahead electricity price classification that could be realized using three-layered feed forward neural network (FFNN), cascade-forward neural network (CFNN) trained by the Levenberg-Marquardt (LM) algorithm and generalized regression neural network (GRNN). The electricity price classification method is as an alternative to numerical electricity price forecasting due to high forecasting errors in various approaches. These electricity price classifications are important because all market participants do not know the exact value of future prices in their decision-making process. In this paper, various electricity market price classification classes with respect to pre specified electricity price thresholds are used. The simulation results show that the proposed CFNN method provides a robust and accurate method for day-ahead deregulated electricity market price classification classes. The proposed neural network classification models of electricity prices are tested on the electricity markets of mainland Spain and New York. © 2011 Elsevier B.V. All rights reserved.",Cascade-forward neural network; Electricity market; Electricity price classification; Feed forward neural network; Forecasting; Generalized regression neural network,Classification methods; Decision making process; Deregulated electricity market; Electricity market; Electricity price forecasting; Electricity prices; Forecasting error; Generalized regression neural networks; Levenberg-Marquardt algorithm; Market participants; Neural network classification; New York; Electric industry; Electric load forecasting; Electricity; Forecasting; Neural networks; Costs
"van de Ven D.J., Fouquet R.",Historical energy price shocks and their changing effects on the economy,2017,23.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010470334&doi=10.1016%2fj.eneco.2016.12.009&partnerID=40&md5=013a3b3bb4d8ba2e073365a81ab6c8ab,"The purpose of this paper is to identify the changes in the impact of energy shocks on economic activity — with an interest in assessing if an economy's vulnerability and resilience to shocks improved with economic development. Using data on the United Kingdom over the last three hundred years, the paper identifies supply, aggregate demand and residual shocks to energy prices and estimates their changing influence on energy prices and GDP. The results suggest that the impacts of supply shocks rose with its increasing dependence on coal, and declined with its partial transition to oil. However, the transition from exporting coal to importing oil increased the negative impacts of demand shocks. More generally, the results indicate that improvements in vulnerability and resilience to shocks did not progress systematically as the economy developed. Instead, the changes in impacts depended greatly on the circumstances related to the demand for and supply of energy sources. If these experiences are transferable to future markets, a transition to a diversified mix of renewable energy is likely to reduce vulnerability and increase resilience to energy price shocks. © 2017 The Authors",Demand shocks; Economic impact; Energy prices; Long run; Supply shocks,Costs; Economics; Demand shocks; Economic impacts; Energy prices; Long run; Supply shocks; Economic and social effects; demand elasticity; economic activity; economic development; economic impact; energy market; price dynamics; vulnerability; United Kingdom
"Malakar T., Goswami S.K., Sinha A.K.",Impact of load management on the energy management strategy of a wind-short hydro hybrid system in frequency based pricing,2014,23.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891696468&doi=10.1016%2fj.enconman.2013.12.014&partnerID=40&md5=56782c324a88dbc2e22c212cd9c7bfe2,"In the post restructuring era of electrical power system, each of the generating farm or utility has its own business strategy in terms of generation planning, load management and for other decisions. The basic objective of the utility is to maximize the operational profit for a given period of time. Generation scheduling for a utility with wind farm largely depends on the accuracy of wind power prediction. Therefore, it is important to explore the suitability of load management approach in coordination with the use of energy storage facility to compensate the uncertainty in wind power generation. This paper focuses mainly the operating strategy of a grid connected small hybrid power system to maximize its profit by adopting coordination between load management technique and utilization of storage plant under frequency based pricing. The optimum load scheduling has been implemented to utilities own local load. An hourly-discretized optimization algorithm is proposed and solved using artificial bee colony algorithm. To verify the effectiveness of the proposed method, the optimization problem is solved for varied wind power scenarios with different demand expectations cases in a day ahead Indian electricity market. It is noted that the proposed load management approach results more profit for the hybrid system because of better power management compared to the case when load scheduling has not been incorporated. The solution of the proposed optimization algorithm gives the strategies to be followed by the hybrid system how to operate its pump storage unit and to serve its local load in next hours. © 2013 Elsevier Ltd. All rights reserved.",Availability Based Tariff; Frequency based pricing; Load management; Pumped storage hydro,Artificial bee colony algorithms; Availability based tariffs; Electrical power system; Energy management strategies; Load management techniques; Optimization algorithms; Pumped-storage hydro; Wind power predictions; Algorithms; Costs; Electric load management; Electric power generation; Electric utilities; Energy management; Hybrid systems; Profitability; Scheduling; Wind power; Optimization
"Huisman R., Kiliç M.",A history of European electricity day-ahead prices,2013,22.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860153730&doi=10.1080%2f00036846.2012.665601&partnerID=40&md5=fad917ec055c4d411e2ff0ab5ff8720a,"In this article, we examine the development of day-ahead prices in five European markets which became more connected over recent years. Where previous studies examined the convergence of price levels over time, we focus on patterns in estimates for the parameters in a switching regimes model. This makes it possible to distinguish between prices under normal market conditions and under non-normal market conditions, those market conditions that can cause extreme price spikes. We expect that increased connectivity yields additional supply in the short-term and therefore will reduce the impact of price spikes. Our results indicate that the impact of price spikes and volatility decreased over time, that prices behave more random, and that the parameter estimates between various connected markets seem to have converged between the Belgian, Dutch, French, German and Nordic day-ahead markets over the years 2003 through 2010. These results can be explained by increased connectivity and improved liquidity. © 2012 Taylor and Francis Group, LLC.",electricity day-ahead prices; price spikes; switching regimes model,convergence; electricity; energy market; market conditions; numerical model; price dynamics; Europe
"Pokharel B.K., Shrestha G.B., Lie T.T., Fleten S.-E.",Price based unit commitment for Gencos in deregulated markets,2005,22.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27144504967&partnerID=40&md5=1293026d21da94f25ee4ee9a39276874,"Some power markets require the Gencos to bid for each individual generator rather than for a group of units. So, it may be desirable to develop unit commitment and generation schedule strategies for individual units. This paper presents a technique to optimize the unit commitment and generation schedules on the basis of the forecasted price. A methodology based on Dynamic programming and enumeration has been proposed. The technique has further been extended to optimize the problem for a group of generators. The technique is explained with illustrative examples and then applied to several systems reported in the literature. The results obtained are very encouraging, comparable, if not better, than the results reported earlier in all cases. Finally, the proposed technique is quite simple and requires significantly less computational time. ©2005 IEEE.",Dynamic programming; Electricity Market; Quadratic Programming; Unit Commitment,Deregulation; Dynamic programming; Electric power generation; Industrial economics; Optimization; Scheduling; Electric energy; Electricity markets; Schedule strategies; Unit commitment; Electric utilities
"Wang S.L., McPhail L.",Impacts of energy shocks on US agricultural productivity growth and commodity prices-A structural VAR analysis,2014,21.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911936065&doi=10.1016%2fj.eneco.2014.05.006&partnerID=40&md5=caa73cf4f39693d75bb38e5e7b8d53c0,"We examine the impacts of energy price shocks on U.S. agricultural productivity growth and commodity prices' volatility by developing a structural VAR model. We use historical annual data of real U.S. gasoline prices, agricultural total factor productivity (TFP), real GDP, real agricultural exports, and real agricultural commodity price from 1948 to 2011 to estimate the model. Our results indicate that an energy price shock has a negative impact on productivity growth in the short run (1. year). An energy price shock and an agricultural productivity shock each account for about 10% of U.S. agricultural commodity price volatility with the productivity shock's contribution slightly higher. However, the impact from energy prices outweighs the contribution of agricultural productivity in the medium term (3. years). With more persistent impacts, energy shocks contribute to most (about 15%) of commodity price's variation in the long run.",Agricultural commodity prices; Energy shocks; Structural VAR analysis; Total factor productivity (TFP); U.S. agricultural productivity growth,Agriculture; Costs; Value engineering; Agricultural commodities; Agricultural productivity; Energy shocks; Total factor productivity; Var analysis; Productivity; agricultural price; agricultural production; commodity price; economic impact; energy market; price dynamics; total factor productivity; United States
"Li G., Liu C.-C., Salazar H.",Forecasting transmission congestion using day-ahead shadow prices,2006,21.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955021161&doi=10.1109%2fPSCE.2006.296170&partnerID=40&md5=45fffca67bd0585ef93d8364fce10541,"Day-ahead shadow price forecasting is a useful tool for market participants as well as market operators in a wholesale electricity market. Shadow price forecasting is seen by market operators as an additional decision-making support tool for congestion management. Similarly, different market participants may use shadow price forecasting as a tool for strategy improvement in day-ahead or spot markets. This paper proposes a factor model to forecast shadow prices for a market based on locational marginal prices. The proposed approach handles time series using Least-Squares Estimation. This method performs day-ahead shadow price forecasting and provides interpretable signals for different congestive conditions. © 2006 IEEE.",Day-ahead energy market; Electricity price forecasting; Least-Squares Estimation; Locational Marginal Price; Shadow price,Electricity price forecasting; Energy markets; Least-Squares Estimation; Locational marginal prices; Shadow price; Commerce; Decision making; Electric load forecasting; Electric power transmission; Forecasting; Power transmission; Time series; Costs
