Authors,Title,Year,Source title,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output
"Fu T., Zhang S., Wang C.",Application and research for electricity price forecasting system based on multi-objective optimization and sub-models selection strategy,2020,Soft Computing,,"In general, electricity prices reflect the cost to build, finance, maintain, and operate power plants and the electricity grid. Therefore, the cost-optimized scheduling of industrial loads with accurate price forecasts is very important. As such, recent studies have attempted to combine models to forecast electricity prices more accurately. Earlier combined models have tended to ignore the selection of sub-models and data analyses, leading to poor forecasting performance. In order to select the best forecasting models in a combined model, we propose a hybrid electricity price forecasting system that includes a data analysis module, a sub-model selection strategy module, optimized forecasting processing, and a model evaluation module. As such, the hybrid system fully exploits the advantages of a single model, thus improving the forecasting performance of the combined model. The experimental results show that the proposed system selects optimal sub-models effectively and successfully identifies future trend changes in the electricity price. Thus, the system can be an effective tool in the planning and implementation of smart grids. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",Combined model; Electricity prices; Hybrid forecasting system; Sub-models selection strategy,Costs; Electric power transmission networks; Forecasting; Hybrid systems; Multiobjective optimization; Power plants; Electricity grids; Electricity price forecasting; Electricity prices; Forecasting models; Forecasting performance; Industrial loads; Model evaluation; Price forecasts; Power markets,5,1,1,1
"Muniain P., Ziel F.",Probabilistic forecasting in day-ahead electricity markets: Simulating peak and off-peak prices,2020,International Journal of Forecasting,6,"In this article we include dependency structures for electricity price forecasting and forecasting evaluation. We work with off-peak and peak time series from the German-Austrian day-ahead price; hence, we analyze bivariate data. We first estimate the mean of the two time series, and then in a second step we estimate the residuals. The mean equation is estimated by ordinary least squares and the elastic net, and the residuals are estimated by maximum likelihood. Our contribution is to include a bivariate jump component in a mean reverting jump diffusion model in the residuals. The models’ forecasts are evaluated with use of four different criteria, including the energy score to measure whether the correlation structure between the time series is properly included. It is observed that the models with bivariate jumps provide better results with the energy score, which means that it is important to consider this structure to properly forecast correlated time series. © 2020 International Institute of Forecasters",Bivariate Bernoulli; Dependency structure; Elastic net estimation; Electricity price forecasting; Energy score; Ensemble forecasting; Forecasting evaluation; GARCH; Jump diffusion process; Pinball score,,"3, 4",2,1,2
"Fang X., Cui M.",Analytical model of day-ahead and real-time price correlation in strategic wind power offering,2020,Journal of Modern Power Systems and Clean Energy,,"In this paper, the model of strategic wind power offering in the day-ahead (DA) market is proposed considering the uncertainties of wind power production, and price forecasting of DA and real-time (RT) market. The wind power deviation in the RT market is settled with the two-price mechanism based on the deviation direction and the relation between the locational marginal prices (LMPs) of DA and RT. Instead of using the point forecasting for the DA and RT LMPs, the uncertainties of LMP forecasting are modeled. In addition, the correlation between the forecasting errors of DA and RT LMP are directly modeled instead of generating the correlated scenarios. Finally, the opitmal offered quantity of wind power in the DA market is derived using the probability theory based on the probabilistic wind power forecasting. The case study using the price data of actual DA and RT from Midcontinent Independent System Operator (MISO) validates the effectiveness of the proposed model. It shows that the correlation of the forecasting errors of DA and RT LMP has a significant impact on the wind power quantity offered by DA and revenue results. © 2020, Springer. All rights reserved.",Correlation; Electricity market; Strategic wind power offering; Uncertainty; Wind power,Weather forecasting; Wind power; Forecasting error; Independent system operators; Locational marginal prices; Price forecasting; Price mechanism; Probabilistic wind power forecasting; Probability theory; Wind power production; Power markets,0,0,0,0
Marcjasz G.,Forecasting electricity prices using deep neural networks: A robust hyper-parameter selection scheme,2020,Energies,1,"Deep neural networks are rapidly gaining popularity. However, their application requires setting multiple hyper-parameters, and the performance relies strongly on this choice. We address this issue and propose a robust ex-ante hyper-parameter selection procedure for the day-ahead electricity price forecasting that, when used jointly with a tested forecast averaging scheme, yields high performance throughout three-year long out-of-sample test periods in two distinct markets. Being based on a grid search with models evaluated on long samples, the methodology mitigates the noise induced by local optimization. Forecast averaging across calibration window lengths and hyper-parameter sets allows the proposed methodology to outperform a parameter-rich least absolute shrinkage and selection operator (LASSO)-estimated model and a deep neural network (DNN) with non-optimized hyper-parameters in terms of the mean absolute forecast error. © 2020 by the author. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).",Artificial neural network; Deep learning; Electricity price forecasting; Hyper-parameter optimization; Machine learning,Costs; Deep neural networks; Forecasting; Power markets; Electricity price forecasting; Estimated model; Forecast errors; Forecasting electricity; Hyper-parameter; Least absolute shrinkage and selection operators; Local optimizations; Robust hyper-parameters; Neural networks,5,1,1,1
"Lee C.-Y., Wu C.-E.",Short-term electricity price forecasting based on similar day-based neural network,2020,Energies,,"This paper presents four refined distance models to the application of forecasting short-term electricity price namely Euclidean norm, Manhattan distance, cosine coefficient, and Pearson correlation coefficient. The four refined models were constructed and used to select the days, which are like a reference day in electricity prices and loads, called similar days in this study. Using the similar days, the electricity prices of a forecast day were further obtained by similar day regression (SDR) and similar day based artificial neural network (SDANN). The simulation results of the case of the PJM (Pennsylvania, New Jersey and Maryland) interchange energy market indicate the superiority and availability of the selection 45 framework days and three similar days based on Pearson correlation coefficient model. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).",Artificial neural network; Electricity price; Linear regression; Similar-day method,Correlation methods; Costs; Forecasting; Power markets; Cosine coefficient; Electricity price forecasting; Electricity prices; Euclidean norm; Interchange energy; Manhattan distance; Pearson correlation coefficients; Refined model; Neural networks,5,1,1,1
"Zheng K., Wang Y., Liu K., Chen Q.",Locational Marginal Price Forecasting: A Componential and Ensemble Approach,2020,IEEE Transactions on Smart Grid,1,"Short-term locational marginal price (LMP) forecasting is the traditional problem of market participants and other institutions maximizing their profit. Most electricity market organizers in the world release the data of LMP along with its three components, i.e., the energy, congestion, and loss components. The series of the three components have their own patterns and driving factors, and can be utilized to improve the accuracy of LMP forecasting. However, most existing studies have focused on direct LMP forecasting and have barely noticed this characteristic. In this paper, we aim to bridge the gap between the released data of the three components and LMP forecasting through a componential and ensemble approach. Three individual forecasting models are selected and trained for these components, and an ensemble framework that stacks the summation LMP results and the direct results is proposed to enhance the overall accuracy and robustness. Numerical experiments with real market data are conducted to show the good performance of this novel approach. © 2010-2012 IEEE.",electricity market; Locational marginal price; model stacking%; short-term forecasting; tree-based regression,Power markets; Driving factors; Ensemble approaches; Forecasting models; Locational marginal price forecasting; Market participants; Numerical experiments; Overall accuracies; Three component; Forecasting,4,1,1,1
"Rogus R., Castro R., Sołtysik M.",Comparative analysis of wind energy generation forecasts in Poland and Portugal and their influence on the electricity exchange prices,2020,Inventions,,"Currently, the privileged position of wind energy producers is being weakened by their enforced participation in the market on equal terms. This requires accurate production forecasting. The main aim of this study is to comparatively examine the wind generation forecasts in Poland and Portugal, as well as to verify their influence on the day-ahead market prices. The statistical analysis revealed significant deviations of the forecasted and actual wind production in both countries, which referred to the corresponding spot and balancing prices caused considerable financial losses by the wind energy suppliers. In this paper, the influence of the wind generation forecasts on the spot prices has been examined through developed the auto-regressive moving average (ARMA), ARMA with exogenous inputs (ARMAX) and non-linear auto-regressive neural network (NAR), NAR with exogenous inputs (NARX)artificial neural network (ANN) models. The results have shown that the usability of the information of forecasted wind generation is not unequivocal in models developed for spot prices in Poland, mainly because of the randomness and volatility of recorded wind generation forecasts. However, in the case of Portugal, the forecasted wind generation occurred to be a valuable input in spot prices models, which results in an improvement in the models’ accuracy. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",ARMAX; Balancing market; Electricity price forecasting (EPF); NARX-ANN; Spot market; Wind power forecasting (WPF),,"4, 5",1,"1, 3",1
"Janke T., Steinke F.",Probabilistic multivariate electricity price forecasting using implicit generative ensemble post-processing,2020,"2020 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2020 - Proceedings",,"The reliable estimation of forecast uncertainties is crucial for risk-sensitive optimal decision making. In this paper, we propose implicit generative ensemble post-processing, a novel framework for multivariate probabilistic electricity price forecasting. We use a likelihood-free implicit generative model based on an ensemble of point forecasting models to generate multivariate electricity price scenarios with a coherent dependency structure as a representation of the joint predictive distribution. Our ensemble post-processing method outperforms well-established model combination benchmarks. This is demonstrated on a data set from the German day-Ahead market. As our method works on top of an ensemble of domain-specific expert models, it can readily be deployed to other forecasting tasks. © 2020 IEEE.",electricity price forecasting; ensemble learning; implicit generative models; Probabilistic forecasting,Forecasting; Processing; Risk perception; Dependency structures; Electricity price forecasting; Electricity prices; Ensemble post-processing; Forecast uncertainty; Forecasting models; Optimal decision making; Predictive distributions; Power markets,4,1,1,2
"Yang H., Schell K.R.",HFNet: Forecasting Real-Time Electricity Price via Novel GRU Architectures,2020,"2020 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2020 - Proceedings",,"Electricity price forecasting is critical to numerous tasks in the power system such as strategic bidding, generation scheduling, optimal scheduling of storage reserves and system analysis. Most existing price forecasting models focus on hourly prediction for the day ahead market. This work focuses on the real-Time, 5-minute market, with the goal of developing a model able to capture both the long-and short-Term temporal distribution of the data. Extending the recent advances in deep learning models of time series forecasting, the proposed model-named HFnet-is a novel multi-branch Gated Recurrent Unit (GRU) architecture for electricity price forecasting. Extensive empirical analyses using real-Time data from the New York Independent System Operator (NYISO) illustrate the value of the proposed model when compared to state-of-Art prediction models, with an average reduction in error of 10%. © 2020 IEEE.",Deep Learning; feature engineering; GRU; price forecasting; Time Series Analysis; wavelet,Deep learning; Digital storage; Forecasting; Predictive analytics; Scheduling; Electricity price forecasting; Electricity prices; Empirical analysis; Generation scheduling; Independent system operators; Optimal scheduling; Strategic bidding; Temporal distribution; Power markets,5,1,1,1
"MacIejowska K., Uniejewski B., Serafin T.",PCA forecast averaging - Predicting day-ahead and intraday electricity prices,2020,Energies,,"Recently, the development in combining point forecasts of electricity prices obtained with different length of calibration windows have provided an extremely efficient and simple tool for improving predictive accuracy. However, the proposed methods are strongly dependent on expert knowledge and may not be directly transferred from one to another model or market. Hence, we consider a novel extension and propose to use principal component analysis (PCA) to automate the procedure of averaging over a rich pool of predictions. We apply PCA to a panel of over 650 point forecasts obtained for different calibration windows length. The robustness of the approach is evaluated with three different forecasting tasks, i.e., forecasting day-ahead prices, forecasting intraday ID3 prices one day in advance, and finally very short term forecasting of ID3 prices (i.e., six hours before delivery). The empirical results are compared using the Mean Absolute Error measure and Giacomini and White test for conditional predictive ability (CPA). The results indicate that PCA averaging not only yields significantly more accurate forecasts than individual predictions but also outperforms other forecast averaging schemes. © 2020 by the authors.",Day-ahead market; Decision-making; Electricity price forecasting; EPF; Forecast averaging; Intraday market; Principal component analysis,Calibration; Costs; Day-ahead prices; Electricity prices; Expert knowledge; Individual prediction; Mean absolute error; Predictive abilities; Predictive accuracy; Very short term forecasting; Forecasting,5,1,1,2
"Gianfreda A., Ravazzolo F., Rossini L.",Comparing the forecasting performances of linear models for electricity prices with high RES penetration,2020,International Journal of Forecasting,1,"We compare alternative univariate versus multivariate models and frequentist versus Bayesian autoregressive and vector autoregressive specifications for hourly day-ahead electricity prices, both with and without renewable energy sources. The accuracy of point and density forecasts is inspected in four main European markets (Germany, Denmark, Italy, and Spain) characterized by different levels of renewable energy power generation. Our results show that the Bayesian vector autoregressive specifications with exogenous variables dominate other multivariate and univariate specifications in terms of both point forecasting and density forecasting. © 2020 The Authors",Demand; Electricity markets; Fossil fuels; Hourly prices; Point and density forecasting; Renewable energy sources,,4,1,1,"1, 2"
"Gulay E., Duru O.",Hybrid modeling in the predictive analytics of energy systems and prices,2020,Applied Energy,,"The aim of this paper is to illustrate the nature of the residuals of a forecasting process and to propose a hybrid approach with linear and nonlinear components predicted by corresponding methodologies. It is a common practice that residuals are assumed to be unpredictable or are reiterated into a model as lagged variables to capture any information remaining in the residual data. The central argument of this paper is that residuals from energy price forecasting can still carry predictive information in its complex and nonlinear form. Although the linear modeling is initially very accurate, reiterating residuals in linear structures is a mismatch of data type and methodology. In this regard, the proposed algorithm hybridizes or combines linear components captured by the Autoregressive Distributed Lag Model (ARDL) and nonlinear components processed by the Empirical Mode Decomposition (EMD) and an Artificial Neural Network (ANN) to improve post-sample accuracy. The conventional reiterative process can improve in-sample accuracy, which literally has no value for business forecasting practices. Through a fair benchmark comparison, including methodologies of other combinations, the proposed algorithm is cross-validated by predictive accuracy gain in the out-of-sample (holdout) dataset. © 2020 Elsevier Ltd",Combination forecasting; Energy markets; Energy prices; Price discovery; Price forecasting; Residual modeling,Costs; Forecasting; Neural networks; Signal processing; Autoregressive distributed lag models; Benchmark comparison; Business forecasting; Empirical Mode Decomposition; Linear components; Nonlinear components; Predictive accuracy; Predictive information; Predictive analytics; accuracy assessment; algorithm; artificial neural network; data set; energy market; forecasting method,"4, 5",2,1,1
