Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type
"Maciejowska K., Nitka W., Weron T.",Day-ahead vs. Intraday—Forecasting the price spread to maximize economic benefits,2019,17,"Recently, a dynamic development of intermittent renewable energy sources (RES) has been observed. In order to allow for the adoption of trading contracts for unplanned events and changing weather conditions, the day-ahead markets have been complemented by intraday markets; in some countries, such as Poland, balancing markets are used for this purpose. This research focuses on a small RES generator, which has no market power and sells electricity through a larger trading company. The generator needs to decide, in advance, how much electricity is sold in the day-ahead market. The optimal decision of the generator on where to sell the production depends on the relation between prices in different markets. Unfortunately, when making the decision, the generator is not sure which market will offer a higher price. This article investigates the possible gains from utilizing forecasts of the price spread between the intraday/balancing and day-ahead markets in the decision process. It shows that the sign of the price spread can be successfully predicted with econometric models, such as ARX and probit. Moreover, our research demonstrates that the statistical measures of forecast accuracy, such as the percentage of correct sign classifications, do not necessarily coincide with economic benefits. © 2019 by the authors.",ARX model; Electricity markets; Electricity prices; Forecasting; Price spread; Probit model,Commerce; Costs; Economic and social effects; Forecasting; Renewable energy resources; ARX model; Dynamic development; Electricity prices; Forecast accuracy; Price spread; Probit models; Renewable energy source; Statistical measures; Power markets,4,1,"1, 2",1,Article
"Cerjan M., Petričić A., Delimar M.",HIRA model for short-term electricity price forecasting,2019,3,"In competitive power markets, electric utilities, power producers, and traders are exposed to increased risks caused by electricity price volatility. The growing reliance on renewable sources and their dependence on weather, nuclear uncertainty, market coupling, and global financial instability are contributing to the importance of accurate electricity price forecasting. Since power markets are not all equally developed, different price forecasting methods have been introduced for individual markets. The aim of this research is to introduce a short-term electricity price forecasting method that addresses the problems of price volatility, a varying number of input parameters, varying data availability, and a large number of parameters and input data. Furthermore, the proposed model can be used on any market as it targets the characteristics and specifics of each market. The proposed Hybrid Iterative Reactive Adaptive (HIRA) method consists of two phases. In analysis phase, fundamental parameters which affect the electricity price are identified depending on market development. Obtained parameters are used as data inputs for price forecasting using a hybrid method. The HIRA model combines a statistical approach for large data set analysis and a similar day method with neural network tools. Similar days are examined using a statistical method which combines correlation significance, price volatility, and forecasting accuracy of the historical data. Data are collected based on their availability and electricity prices are forecasted in several iterations. All relevant data for price forecasting are collected, categorized, and arranged using simple indicators which makes the HIRA model adaptive and reactive to new market circumstances. The proposed model is validated using the Hungarian Power Exchange (HUPX) electricity price data records. The results show that with HIRA model forecasting, the error is stable and does not depend on price volatility. The HIRA method has proven to be applicable for forecasting electricity prices in real-time market conditions and enables effective hedging of price risk in the production or market portfolio. © 2019 by the authors.",Data mining; Dynamic hybrid model; Electricity market; Electricity price; Neural network; Short-term electricity price forecast; Spot market,Commerce; Costs; Data mining; Electric utilities; Electronic trading; Financial markets; Forecasting; Iterative methods; Neural networks; Competitive power markets; Electricity price forecasting; Electricity price volatilities; Electricity prices; Forecasting accuracy; Forecasting electricity; Hybrid model; Spot market; Power markets,"4, 5",1,1,1,Article
"Campos V., Osorio G., Shafie-Khah M., Lotfi M., Catalao J.P.S.",Short-Term Hybrid Probabilistic Forecasting Model for Electricity Market Prices,2019,,"With the integration of new power production technologies and the growing focus on dispersed production, there has been a paradigm change in the electricity sector, mostly under a renewable and sustainable way. Consequentially, challenges for profitability as well as correct management of the electricity sector have increased its complexity. The use of forecasting tools that allow a real and robust approach makes it possible to improve system operation and thus minimizing costs associated with the activities of the electric sector. Hence, the forecasting approaches have an essential role in all stages of the electricity markets. In this paper, a hybrid probabilistic forecasting model (HPFM) was developed for short-term electricity market prices (EMP), combining Wavelet Transform (WT), hybrid particle swarm optimization (DEEPSO), Adaptive Neuro-Fuzzy Inference System (ANFIS), together with Monte Carlo Simulation (MCS). The proposed HPFM was tested and validated with real data from the Spanish and Pennsylvania-New Jersey-Maryland (PJM) markets, considering the next week ahead. The model was validated by comparing the results with previously published results using other methods. © 2018 IEEE.",Adaptive neuro-fuzzy inference system; Electricity market prices; Forecasting; Monte Carlo simulation; Particle swarm optimization,Commerce; Costs; Electric industry; Electric tools; Forecasting; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Intelligent systems; Monte Carlo methods; Particle swarm optimization (PSO); Power markets; Wavelet transforms; Adaptive neuro-fuzzy inference system; Electricity sector; Forecasting tools; Hybrid Particle Swarm Optimization; Power production; Probabilistic forecasting; Robust approaches; System operation; Electric power generation,"4, 5",1,1,1,Conference
"Zhang J.-L., Zhang Y.-J., Li D.-Z., Tan Z.-F., Ji J.-F.",Forecasting day-ahead electricity prices using a new integrated model,2019,17,"Electricity price forecasting proves useful for power producers and consumers to make proper decisions in a market-oriented environment. However, due to the complex drivers and sharp fluctuation of electricity prices, accurate electricity price forecasting turns to be very difficult. To better capture the characteristics of day-ahead electricity prices, a new integrated model based on the improved empirical mode decomposition (IEMD), autoregressive moving average with exogenous terms (ARMAX), exponential generalized autoregressive conditional heteroscedasticity (EGARCH) and adaptive network-based fuzzy inference system (ANFIS) is proposed in this paper. Then it is validated by using the data from Spanish and Australian electricity markets. The results indicate that the forecasting accuracy of the new integrated model proves higher than that of some well-recognized models in the literature. © 2018 Elsevier Ltd",ANFIS; ARMAX; EGARCH; Electricity price forecasting; IEMD,Commerce; Costs; Forecasting; Fuzzy inference; Fuzzy neural networks; ANFIS; ARMAX; EGARCH; Electricity price forecasting; IEMD; Power markets,"4, 5",1,1,1,Article
"Wang F., Li K., Zhou L., Ren H., Contreras J., Shafie-khah M., Catalão J.P.S.",Daily pattern prediction based classification modeling approach for day-ahead electricity price forecasting,2019,48,"Day-ahead electricity price forecasting (DAEPF) plays a very important role in the decision-making optimization of electricity market participants, the dispatch control of independent system operators (ISOs) and the strategy formulation of energy trading. Unified modeling that only fits a single mapping relation between the historical data and future data usually produces larger errors because the different fluctuation patterns in electricity price data show different mapping relations. A daily pattern prediction (DPP) based classification modeling approach for DAEPF is proposed to solve this problem. The basic idea is that first recognize the price pattern of the next day from the “rough” day-ahead forecasting results provided by conventional forecasting methods and then perform classification modeling to further improve the forecasting accuracy through building a specific forecasting model for each pattern. The proposed approach consists of four steps. First, K-means is utilized to group all the historical daily electricity price curves into several clusters in order to assign each daily curve a pattern label for the training of the following daily pattern recognition (DPR) model and classification modeling. Second, a DPP model is proposed to recognize the price pattern of the next day from the forecasting results provided by multiple conventional forecasting methods. A weighted voting mechanism (WVM) method is proposed in this step to combine multiple day-ahead pattern predictions to obtain a more accurate DPP result. Third, the classification forecasting model of each different daily pattern can be established according to the clustering results in step 1. Fourth, the credibility of DPP result is checked to eventually determine whether the proposed classification DAEPF modeling approach can be adopted or not. A case study using the real electricity price data from the PJM market indicates that the proposed approach presents a better performance than unified modeling for a certain daily pattern whose DPP results show high reliability and accuracy. © 2018 Elsevier Ltd",Classification modeling; Daily pattern prediction; Day-ahead forecasting; Electricity price; Weighted voting mechanism,Clustering algorithms; Commerce; Decision making; Electric utilities; Forecasting; Mapping; Pattern recognition; Classification models; Day-ahead; Decision-making optimization; Different mapping relation; Electricity price forecasting; Electricity prices; Independent system operators; Weighted voting; Power markets,"4, 5",1,1,1,Article
"McHugh C., Coleman S., Kerr D., McGlynn D.",A Linear Polynomial NARMAX Model with Multiple Factors to Forecast Day-Ahead Electricity Prices,2019,1,"Forecasting algorithms are a valuable mechanism to aid in the prediction of future prices. Although various black-box modelling techniques have been applied to variations of this problem, we focus on the use of transparent models to enable understanding and interpretation of the developed model. We utilize a Nonlinear AutoRegressive Moving Average model with eXogenous input(NARMAX) for electricity price forecasting using multiple input factors. Energy data from a 14-week period in 2017 were analyzed to determine whether a NARMAX model could accurately predict day-ahead electricity prices and to check which input factors in the model were most significant. The model considered the closely correlated lags and included 13 input factors. There were two models developed in order to determine which variables played an important role in predicting future prices. Experimental results indicate that previous price, demand, gas, coal, and nuclear are the most significant factors that influence electricity prices. Gas was the highest weighted factor for both developed models. Previous price yielded the biggest Error Reduction Ratio(ERR), but when not included in the model, demand generated the biggest ERR value. To summarize a NARMAX model with an input regression lag of one and previous price included generates the best day-ahead forecast of electricity prices. © 2018 IEEE.",Electricity price forecasting; Energy market; Multiple factors; NARMAX,Artificial intelligence; Composite structures; Costs; Forecasting; Black box modelling; Electricity price forecasting; Energy markets; Error reduction ratios; Forecasting algorithm; Multiple factors; NARMAX; Nonlinear autoregressive moving average models; Power markets,4,1,1,1,Conference
"Meier J.-H., Schneider S., Le C.",Short-term electricity price forecasting using generalized additive models,2019,,"If one examines the spot price series of electrical power over the course of time, it is striking that the electricity price across the day takes a course that is determined by power consumption following a day and night rhythm. The daily course changes in its height and temporal extent in both, the course of the week, as well as with the course of the year. This study deals methodologically with this intra-day and seasonal behaviour. We contribute the usage of Generalized Additive Models (GAM) and apply these models with European data. © 2019 CEUR-WS. All rights reserved.",Electricity prices; Forecasting; Generalized additive models,Additives; Forecasting; Industrial research; Knowledge management; Electrical power; Electricity price forecasting; Electricity prices; Generalized additive model; Short term; Spot price; Power markets,4,1,1,1,Conference
"Karabiber O.A., Xydis G.","Electricity price forecasting in the Danish day-ahead market using the TBATS, ANN and ARIMA methods",2019,11,"In this paper day-ahead electricity price forecasting for the Denmark-West region is realized with a 24 h forecasting range. The forecasting is done for 212 days from the beginning of 2017 and past data from 2016 is used. For forecasting, Autoregressive Integrated Moving Average (ARIMA), Trigonometric Seasonal Box-Cox Transformation with ARMA residuals Trend and Seasonal Components (TBATS) and Artificial Neural Networks (ANN) methods are used and seasonal naïve forecast is utilized as a benchmark. Mean absolute error (MAE) and root mean squared error (RMSE) are used as accuracy criterions. ARIMA and ANN are utilized with external variables and variable analysis is realized in order to improve forecasting results. As a result of variable analysis, it was observed that excluding temperature from external variables helped improve forecasting results. In terms of mean error ARIMA yielded the best results while ANN had the lowest minimum error and standard deviation. TBATS performed better than ANN in terms of mean error. To further improve forecasting accuracy, the three forecasts were combined using simple averaging and ANN methods and they were both found to be beneficial, with simple averaging having better accuracy. Overall, this paper demonstrates a solid forecasting methodology, while showing actual forecasting results and improvements for different forecasting methods. © 2019 by the authors.",ARIMA; Day ahead market; Electricity price forecasting; Forecast combination; Neural network,Commerce; Errors; Forecasting; Mean square error; Neural networks; ARIMA; Auto-regressive integrated moving average; Box Cox transformation; Day ahead market; Electricity price forecasting; Forecast combinations; Forecasting accuracy; Root mean squared errors; Power markets,"4, 5",1,1,1,Article
"Hubicka K., Marcjasz G., Weron R.",A Note on Averaging Day-Ahead Electricity Price Forecasts Across Calibration Windows,2019,14,"We propose a novel concept in energy forecasting and show that averaging day-ahead electricity price forecasts of a predictive model across 28-728 day calibration windows yields better results than selecting only one ""optimal"" window length. Even more significant accuracy gains can be achieved by averaging over a few, carefully selected windows. © 2018 IEEE.",autoregression; calibration window; combining forecasts; committee machine; Diebold-Mariano test; Electricity price forecasting; NARX neural network,Calibration; Electric load management; Forecasting; Mathematical models; Regression analysis; Autoregression; Combining forecasts; Committee machines; Computational model; Diebold; Electricity price forecasting; Load modeling; Microsoft windows; NARX neural network; Predictive models; Power markets,"4, 5",1,1,1,Article
"Ding L., Ge Q.",Electricity Market Clearing Price Forecast Based on Adaptive Kalman Filter,2018,3,"In the competitive electricity market, in order to guarantee generators profits, they usually adopt bidding strategies to participate in the electricity market competition. The forecast of market clearing prices in the electricity market can provide a reference for the quotation behavior of generator companies. This paper develops a new day-ahead electricity price forecasting based on adaptive Kalman filter. Under the condition of unknown prediction model state transition matrix and the statistical characteristics of the observed noise, To estimate the unknown parameters of the prediction model according to the electricity market clearing electricity price data. According to the estimation, the generators will make a quotation with a slightly lower than the predicted market clearing price, ensuring their unit capacity can participate in the market bidding and achieve the goal of maximizing its own profit. The predicted price is applied to the PJM power market to verify its prediction accuracy. © 2018 IEEE.",adaptive Kalman filter; Electricity market; forecast electricity market price; generator,Adaptive filtering; Adaptive filters; Commerce; Competition; Cost estimating; Electric industry; Forecasting; Kalman filters; Profitability; Adaptive kalman filter; Competitive electricity markets; Electricity price forecasting; Electricity prices; generator; Market Clearing Price; Prediction accuracy; Statistical characteristics; Power markets,4,1,1,1,Conference
"Ben Amor S., Boubaker H., Belkacem L.",Forecasting electricity spot price for Nord Pool market with a hybrid k-factor GARMA–LLWNN model,2018,1,"This paper proposes a new hybrid approach, based on the combination of parametric and nonparametric models by adopting wavelet estimation approach, to model and predict the price electricity for Nord Pool market. Our hybrid methodology consists into two steps. The first step aims at modeling the conditional mean of the time series, using a generalized fractional model with k-factor of Gegenbauer termed the k-factor GARMA model; the parameters of this model are estimated using the wavelet approach based on the discrete wavelet packet transform (DWPT). The second step aims at estimating the conditional variance, so we adopt the local linear wavelet neural network (LLWNN) model. The proposed hybrid model is tested using the hourly log-returns of electricity spot price from the Nord Pool market. The empirical results were compared with the predictions of the ARFIMA–LLWNN, the k-factor GARMA–FIGARCH and the individual LLWNN models. It is shown that the proposed hybrid k-factor GARMA–LLWNN model outperforms all other competing methods. Hence it is a robust tool in forecasting time series. © 2018 John Wiley & Sons, Ltd.",electricity price; forecasting; hybrid; k-factor GARMA; LLWNN,Commerce; Forecasting; Lakes; Parameter estimation; Power markets; Time series; Discrete wavelet packet transforms; Electricity prices; Forecasting electricity; Forecasting time series; hybrid; K-factor GARMA; LLWNN; Wavelet neural networks; Telecommunication traffic,"4, 5","1, 2",1,1,Article
"Kath C., Ziel F.",The value of forecasts: Quantifying the economic gains of accurate quarter-hourly electricity price forecasts,2018,14,"We propose a multivariate elastic net regression forecast model for German quarter-hourly electricity spot markets. While the literature is diverse on day-ahead prediction approaches, both the intraday continuous and intraday call-auction prices have not been studied intensively with a clear focus on predictive power. Besides electricity price forecasting, we check for the impact of early day-ahead (DA) EXAA prices on intraday forecasts. Another novelty of this paper is the complementary discussion of economic benefits. A precise estimation is worthless if it cannot be utilized. We elaborate possible trading decisions based upon our forecasting scheme and analyze their monetary effects. We find that even simple electricity trading strategies can lead to substantial economic impact if combined with a decent forecasting technique. © 2018 Elsevier B.V.",Elastic net regression; Electricity price forecast; Forecasting; Markowitz portfolio; Portfolio analysis; Quarter-hourly spot prices,Commerce; Costs; Economic and social effects; Forecasting; Elastic net; Electricity prices; Markowitz; Portfolio analysis; Spot price; Power markets; economic analysis; economic impact; electricity supply; energy market; forecasting method; multivariate analysis; price dynamics; quantitative analysis; Germany,4,1,2,1,Article
"Diallo A., Kacsor E., Vancsa M.",Forecasting the spread between HUPX and EEX DAM prices the case of Hungarian and German wholesale electricity prices,2018,,"Electricity price forecasting is a rapidly developing field. Using time series analysis to estimate future wholesale electricity prices is a popular approach, however forecasting price difference between markets is not typical. In this paper the spread between Hungarian (HUPX) and German (EEX) day-ahead power prices are forecasted, using combined ARIMA-GARCH type models. Models are built on 2011-2017 daily average price data, and forecasts are made for Q1 2018. All four applied model types (NGARCH, TGARCH, EGARCH, GJR GARCH) bring similar results, with an RMSE of 4.22-4.75 and a MAE of 2.87-2.99 while the average spread value in the forecasted period is 3.88. All models perform better than the simple ARIMA model. © 2018 IEEE.",Electricity prices; Forecasting; Germany; Hungary; Spread,Commerce; Costs; Forecasting; Time series analysis; Electricity price forecasting; Electricity prices; GARCH-type models; Germany; Hungary; Price difference; Spread; Wholesale electricity; Power markets,4,2,1,1,Conference
"Marcjasz G., Serafin T., Weron R.",Selection of calibration windows for day-ahead electricity price forecasting,2018,9,"We conduct an extensive empirical study on the selection of calibration windows for day-ahead electricity price forecasting, which involves six year-long datasets from three major power markets and four autoregressive expert models fitted either to raw or transformed prices. Since the variability of prediction errors across windows of different lengths and across datasets can be substantial, selecting ex-ante one window is risky. Instead, we argue that averaging forecasts across different calibration windows is a robust alternative and introduce a new, well-performing weighting scheme for averaging these forecasts. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Autoregression; Calibration window; Conditional predictive ability; Electricity price forecasting; Forecast averaging; Variance stabilizing transformation,Calibration; Forecasting; Regression analysis; Auto-regressive; Autoregression; Electricity price forecasting; Empirical studies; Prediction errors; Predictive abilities; Variance stabilizing transformation; Weighting scheme; Power markets,4,1,1,1,Article
"Zhou L., Wang B., Wang Z., Wang F., Yang M.",Seasonal classification and RBF adaptive weight based parallel combined method for day-ahead electricity price forecasting,2018,1,"Electricity price forecasting is of great significance especially in the construction of energy market all over the world. This paper proposed a parallel combined forecasting approach consisting of ARIMA, BP neural network and SVR on the basis of seasonal classification for day-ahead electricity price forecasting (DAEPF). ARIMA, BP and SVR were applied in DAEPF respectively and the final result was obtained by RBF neural network to integrate three predicted values in four different seasons by nonlinear fitting way in order to take the advantages of different methods. The main novelty of presented method is the specific model to every season and the nonlinear weights between various forecasting methods could vary along with time so as to follow the development of society. The simulation based on the data from PJM market showed better generalization ability and higher forecasting accuracy of proposed model than traditional regressive parallel combined method and non-classification situations. © 2018 IEEE.",adaptive weight; Day-ahead electricity price forecasting; parallel combined method; RBF fitting; seasonal classification,Commerce; Electric power transmission networks; Forecasting; Radial basis function networks; Smart power grids; Adaptive weights; Combined forecasting; Electricity price forecasting; Forecasting accuracy; Forecasting methods; Generalization ability; Parallel combined methods; RBF fitting; Power markets,"4, 5",1,1,1,Conference
"Varshney H., Sujil A., Kumar R.",A Singular Spectrum Analysis based Approach to Price Forecasting for a Day Ahead Electricity Market,2018,1,"Deregulation across various electricity markets created a need for an operational framework that has capability to run similar to the dynamics of real world commodity markets possessing the competitiveness to ensure long run stability, providing opportunity to every participant and maintaining the price level of commodity within the reach of consumer. The electricity framework takes into account the power system balancing constraints required to ensure its reliability and security. This complex structure with its aim of competitiveness motivated the participating entities to run the generating capacities at the optimum level, forced the operators to minimize the transmission losses and created an environment for the consumers to take the benefit of variable pricing conditions. Specially, these effects are reflected via short term electricity price forecasting (STPF) in a significant amount. The STPF created the required decision base for the entities to bid in market with an effective strategy of risk management to hedge against the highly volatile pricing events to ensure the required amount of liquidity and making better economic conditions while in case of large consumers, it helps to either curtail or schedule the loads to minimize the cost of energy. It also helps them to prepare an alternative strategy to make available the required energy via small private generating units during peak price hours. To account for different requirements of various entities, accurate price forecasting is a crucial task. The complexity of the price dynamics also involves the variations attributed to spatial effects in different operating regions such as calamities and extreme conditions. In this paper, Singular Spectrum Analysis based model is used to forecast the price. The simulations results show the accuracy of proposed model. © 2018 IEEE.",Electricity price forecasting; Neural network; Real time forecast; Singular spectrum analysis,Commerce; Competition; Complex networks; Costs; Deregulation; Electronic trading; Financial markets; Forecasting; Neural networks; Power electronics; Risk management; Spectrum analysis; Day-ahead electricity market; Economic condition; Electricity price forecasting; Extreme conditions; Generating capacity; Real-time forecasts; Singular spectrum analysis; Transmission loss; Power markets,4,2,1,1,Conference
"Ugurlu U., Tas O., Gunduz U.",Performance of Electricity Price Forecasting Models: Evidence from Turkey,2018,4,"In this article, hourly prices of the Turkish Day Ahead Electricity Market are forecasted by using various univariate electricity price models, then the out-of-sample forecasts are compared with each other and the benchmarks. This article has two main contributions to the literature: Firstly, it provides a factorial Analysis of Variance (ANOVA) as a pre-whitening method of the price series and allows one to work with the stationary residuals series. Secondly, it is the first work, which compares the performances of all important statistical univariate forecast models in the Turkish electricity market. Results indicate the importance of the factorial ANOVA application and the SARIMA model’s success under the given conditions. Copyright © Taylor & Francis Group, LLC.",electricity price forecasting; factorial ANOVA; pre-whitening; Turkish day-ahead electricity market; univariate time-series modeling,,4,1,1,1,Article
"Monteiro C., Ramirez-Rosado I.J., Fernandez-Jimenez L.A., Ribeiro M.",New probabilistic price forecasting models: Application to the Iberian electricity market,2018,14,"This article presents original Probabilistic Price Forecasting Models, for day-ahead hourly price forecasts in electricity markets, based on a Nadaraya–Watson Kernel Density Estimator approach. A Gaussian Kernel Density Estimator function is used for each input variable, which allows to calculate the parameters of the probability density function (PDF) of a Beta distribution for the hourly price variable. Thus, valuable information is obtained from PDFs such as point forecasts, variance values, quantiles, probabilities of prices, and time series representations of forecast uncertainty. A Reliability Indicator is also introduced to give a measure of “reliability” of forecasts. The Probabilistic Price Forecasting Models were satisfactorily applied to the real-world case study of the Iberian Electricity Market. Input variables of these models include recent prices, power demands and power generations in the previous day, power demands in the previous week, forecasts of demand, wind power generation and weather for the day-ahead, and chronological data. The best model, corresponding to the best combination of input variables that achieves the lowest MAE, obtains one of the highest Reliability Indicator values. A systematic analysis of MAE values of the Probabilistic Price Forecasting Models for different combinations of input variables showed that as more types of input variables were considered in these models, MAE values improved and Reliability Indicator values usually increased. © 2018 Elsevier Ltd",Electricity prices; Iberian electricity market; Market prices; Probabilistic forecast; Short-term forecasting,Commerce; Cost estimating; Electric industry; Electric power generation; Electric power utilization; Forecasting; Probability density function; Probability distributions; Reliability analysis; Wind power; Electricity prices; Iberian electricity market; Market price; Probabilistic forecasts; Short-term forecasting; Power markets,4,1,1,2,Article
"Cheng C., Luo B., Miao S., Wu X.",Mid-term electricity market clearing price forecasting with sparse data: A case in newly-reformed yunnan electricity market,2016,11,"For the power systems, for which few data are available for mid-term electricity market clearing price (MCP) forecasting at the early stage of market reform, a novel grey prediction model (defined as interval GM(0, N) model) is proposed in this paper. Over the traditional GM(0, N) model, three major improvements of the proposed model are: (i) the lower and upper bounds are firstly identified to give an interval estimation of the forecasting value; (ii) a novel whitenization method is then established to determine the definite forecasting value from the forecasting interval; and (iii) the model parameters are identified by an improved particle swarm optimization (PSO) instead of the least square method (LSM) for the limitation of LSM. Finally, a newly-reformed electricity market in Yunnan province of China is studied, and input variables are contrapuntally selected. The accuracy of the proposed model is validated by observed data. Compared with the multiple linear regression (MLR) model, the traditional GM(0, N) model and the artificial neural network (ANN) model, the proposed model gives a better performance and its superiority is further ensured by the use of the modified Diebold-Mariano (MDM) test, suggesting that it is suitable for mid-term electricity MCP forecasting in a data-sparse electricity market. © 2016 by the authors.",Grey prediction model; Market clearing price (MCP); Mid-term; Particle swarm optimization (PSO); Sparse data,Commerce; Costs; Electric industry; Forecasting; Least squares approximations; Linear regression; Neural networks; Particle swarm optimization (PSO); System theory; Artificial neural network models; Grey prediction model; Lower and upper bounds; Market Clearing Price; Market clearing prices; Mid-term; Multiple linear regression models; Sparse data; Power markets,4,2,1,2,Article
"Ziel F., Weron R.",Day-ahead electricity price forecasting with high-dimensional structures: Univariate vs. multivariate modeling frameworks,2018,50,"We conduct an extensive empirical study on short-term electricity price forecasting (EPF) to address the long-standing question if the optimal model structure for EPF is univariate or multivariate. We provide evidence that despite a minor edge in predictive performance overall, the multivariate modeling framework does not uniformly outperform the univariate one across all 12 considered datasets, seasons of the year or hours of the day, and at times is outperformed by the latter. This is an indication that combining advanced structures or the corresponding forecasts from both modeling approaches can bring a further improvement in forecasting accuracy. We show that this indeed can be the case, even for a simple averaging scheme involving only two models. Finally, we also analyze variable selection for the best performing high-dimensional lasso-type models, thus provide guidelines to structuring better performing forecasting model designs. © 2018 Elsevier B.V.",Day-ahead market; Electricity price forecasting; Forecast combination; Lasso; Multivariate modeling; Regression; Univariate modeling; Variable selection,Costs; Forecasting; Structural optimization; Day ahead market; Electricity price forecasting; Forecast combinations; Lasso; Multivariate modeling; Regression; Univariate models; Variable selection; Power markets; conceptual framework; electricity supply; energy market; modeling; multivariate analysis; price dynamics; regression analysis,4,1,1,1,Article
"Zhao Z., Wang C., Nokleby M., Miller C.J.",Improving short-term electricity price forecasting using day-ahead LMP with ARIMA models,2018,2,"Short-term electricity price forecasting has become important for demand side management and power generation scheduling. Especially as the electricity market is becomes more competitive, a more accurate price prediction than the day-ahead locational marginal price (DALMP) published by the independent system operator (ISO) will benefit participants in the market by increasing profit or improving load demand scheduling. Hence, the main idea of this paper is to use autoregressive integrated moving average (ARIMA) models to obtain a better LMP prediction than the DALMP by utilizing the published DALMP, historical real-time LMP (RTLMP) and other useful information. First, a set of seasonal ARIMA (SARIMA) models utilizing the DALMP and historical RTLMP are developed and compared with autoregressive moving average (ARMA) models that use the differences between DALMP and RTLMP on their forecasting capability. A generalized autoregressive conditional heteroskedasticity (GARCH) model is implemented to further improve the forecasting by accounting for the price volatility. The models are trained and evaluated using real market data in the Midcontinent Independent System Operator (MISO) region. The evaluation results indicate that the ARMAX-GARCH model, where an exogenous time series indicates weekend days, improves the short-term electricity price prediction accuracy and outperforms the other proposed ARIMA models. © 2017 IEEE.",ARIMA models; Electricity market; Locational marginal price; Price prediction,Commerce; Costs; Electric industry; Electric utilities; Forecasting; Scheduling; ARIMA models; Autoregressive integrated moving average models; Autoregressive moving average model; Electricity price forecasting; Generalized autoregressive conditional heteroskedasticity; Independent system operators; Locational marginal prices; Price prediction; Power markets,4,1,1,1,Conference
"Tasneem F., Waters G.",Forecasting MISO electricity prices: A threshold autoregressive approach with load data,2018,,"Electricity price dynamics for the Illinois market are examined by estimating eleven different threshold autoregressive models and comparing according to fit and forecasting performance. The threshold is endogenous and depends on load data in three of the cases. A theoretical model demonstrates that supply constraints could explain price spikes and that prices would display less persistence in those cases. Estimation results confirm that presence of non-linearity in the evolution of prices. However, inclusion of the load data does not improve performance, which provides evidence against this hypothesis. The model where the threshold depends on the change in the past price is best. © 2018, University of Nebraska. All rights reserved.",,electricity industry; electricity supply; energy market; forecasting method; hypothesis testing; nonlinearity; performance assessment; price dynamics; regression analysis; threshold; Illinois; United States,4,1,1,1,Article
"Menon K.C., Menon D.G., Menon R.V.","Indian electricity power market (Iex, Kerala Region) spot price: Forecasting using ARIMA model",2018,,"Electricity traded as a commodity have distinct characteristics of being completely fungible, simultaneous in a generation to usage & at any given time, there should be a near perfect supply-demand equilibrium in the power grids. Smart grids use ancillary services & demand response programs to manage any demand fluctuations. Independent System Operators (ISOs) & Regional Transmission Organisations (RTO) are responsible for keeping the grid balanced with generation & load. Power Grid Corporation (ISO), Indian Energy Exchange (ISO) & Kerala State Electricity Board (RTO) are the key players who perform this function for Kerala region. IEX manage the energy markets by operating three submarkets day-ahead, real-time& capacity markets. Through day-ahead market, electricity generators &load-serving entities submit their bids to receive & offer electricity to the power grid based on varying cost on each hour for the next operating day. In the real-time market, ISO & RTOs manage these changes in production & consumption throughout the day. They optimize the generation dispatch schedule where they consider generation cost & transmission constraints. Capacity markets are employed to have study flow of capital investments in the market thereby increasing the generation capacity. Currently, KSEB forecast & schedule power generation to ensure sufficient power is available at its disposal for transmission. But with generation capacity standing at a mere 30% of demand, it has to depend upon bulk purchases. To bring transparency to KSEB’s procurement programme, the Kerala state regulatory commission (erc Kerala) have provided adequate guidelines to consider commodity markets as well along with its traditional flat-ratecontracts. On this research study, we are forecasting day-ahead electricity spot price at IEX Kerala region using modern electrometric techniques. The time series analysis of Autoregressive Integrated Moving Average (ARIMA) model is applied to the historical IEX spot price data starting from 1st February 2017 to 31st January of 2018. In every deregulated electricity market, it’s a practice to perform the price forecasting first and then to prepare the bids accordingly. KSEB can also apply this technique to improve their procurement efficiency. From 2017 onwards, IEX has created a new separate bid region for the Kerala market, making Kerala specific market study very relevant. © 2018, Institute of Advanced Scientific Research, Inc. All rights reserved.",ARIMA Models; Box-jenkins methodology; Electricity price forecasting; Time series and deregulated markets,,4,2,1,1,Article
