Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type,Approach,Model
"Gulay E., Duru O.",Hybrid modeling in the predictive analytics of energy systems and prices,2020,,"The aim of this paper is to illustrate the nature of the residuals of a forecasting process and to propose a hybrid approach with linear and nonlinear components predicted by corresponding methodologies. It is a common practice that residuals are assumed to be unpredictable or are reiterated into a model as lagged variables to capture any information remaining in the residual data. The central argument of this paper is that residuals from energy price forecasting can still carry predictive information in its complex and nonlinear form. Although the linear modeling is initially very accurate, reiterating residuals in linear structures is a mismatch of data type and methodology. In this regard, the proposed algorithm hybridizes or combines linear components captured by the Autoregressive Distributed Lag Model (ARDL) and nonlinear components processed by the Empirical Mode Decomposition (EMD) and an Artificial Neural Network (ANN) to improve post-sample accuracy. The conventional reiterative process can improve in-sample accuracy, which literally has no value for business forecasting practices. Through a fair benchmark comparison, including methodologies of other combinations, the proposed algorithm is cross-validated by predictive accuracy gain in the out-of-sample (holdout) dataset. © 2020 Elsevier Ltd",Combination forecasting; Energy markets; Energy prices; Price discovery; Price forecasting; Residual modeling,Costs; Forecasting; Neural networks; Signal processing; Autoregressive distributed lag models; Benchmark comparison; Business forecasting; Empirical Mode Decomposition; Linear components; Nonlinear components; Predictive accuracy; Predictive information; Predictive analytics; accuracy assessment; algorithm; artificial neural network; data set; energy market; forecasting method,"4, 5",2,1,1,Article,1,"a, b, c"
"Imani M.H., Bompard E., Colella P., Huang T.",Predictive methods of electricity price: An application to the Italian electricity market,2020,,"Price forecasting is a crucial element for the members of the electricity markets and business decision making to maximize their profits. The electricity prices have an impact on the behavior of market participants, and thus, predicting prices for generation companies, and consumers is essential for both the short-term profits in the Day-Ahead, Intra-Day and Ancillary markets, and the long-term benefits in the future planning, investment, and risk management. Therefore, participants in the electricity market need to accurately and effectively predict the price signal to manage market risk. In this paper, different forecasting models have been compared, and the most promising ones have been employed to forecast the short term Italian electricity market clearing price for achieving forecasting accuracy. In particular, simulations are performed for four principal regression methods, including Support Vector Machine, Gaussian Processes Regression, Regression Trees, and Multi-Layer Perceptron. The performance of predicted models is compared through several performance metrics, including MAE, RMSE, R, and the total number of percentage error anomalies. The results indicate the SVM is the best choice for forecasting the electricity market price on the Italian case study. © 2020 IEEE.",Artificial neural network; Electricity price prediction; Italian electricity market; Machine learning; PUN,Consumer behavior; Costs; Decision making; Electric industry; Electric power generation; Forecasting; Investments; Multilayer neural networks; Profitability; Risk management; Support vector machines; Support vector regression; Forecasting accuracy; Forecasting models; Gaussian processes regressions; Generation companies; Market Clearing Price; Market participants; Multi layer perceptron; Performance metrics; Power markets,5,1,1,1,Conference,6,"a, b, c"
"De Simon-Martin M., Bracco S., Rosales-Asensio E., Piazza G., Delfino F., Giribone P.G.","Electricity Spot Prices Forecasting for MIBEL by using Deep Learning: A comparison between NAR, NARX and LSTM networks",2020,,"In the latest times, power markets in Europe, including the Spanish one called MIBEL (Mercado Ibérico de Electricidad), are being deregulated and coupled. As a result, electricity can be easily purchased and sold across further areas and countries. On the other hand, trying to guarantee renewable projects profitability, Power Purchase Agreements and Options contracts are arising as a feasible solution. The problem arises when the power plant owners have to negotiate the purchase electricity price in order to optimize risks and profits, as well as make future plans. Thus, several methods for Electricity Price Forecasting (EPF) have been developed and presented, showing different results, as market spot prices suffer from strong seasonality, spikes and high volatility. In this paper, three methods, based on Deep Learning Dynamic Neural Networks (NAR, NARX and LSTM) applied to forecast MIBEL electricity spot prices are discussed in order to evaluate their adequacy, accuracy and reliable horizon. © 2020 IEEE.",Deep Learning Dynamic Neural Networks; Electricity Markets; Electricity Price Forecasting; LSTM; NAR; NARX; Time Series,Costs; Deep neural networks; Deregulation; Forecasting; Long short-term memory; Power markets; Profitability; Sales; Dynamic neural networks; Electricity price forecasting; Electricity prices; Electricity spot price; Feasible solution; High volatility; Power purchase agreement; Renewable projects; Deep learning,5,1,1,1,Conference,2,
"Castelli M., Groznik A., Popovič A.",Forecasting electricity prices: A machine learning approach,2020,,"The electricity market is a complex, evolutionary, and dynamic environment. Forecasting electricity prices is an important issue for all electricity market participants. In this study, we shed light on how to improve electricity price forecasting accuracy through the use of a machine learning technique-namely, a novel genetic programming approach. Drawing on empirical data from the largest EU energy markets, we propose a forecasting model that considers variables related to weather conditions, oil prices, and CO2 coupons and predicts energy prices 24 h ahead. We show that the proposed model provides more accurate predictions of future electricity prices than existing prediction methods. Our important findings will assist the electricity market participants in forecasting future price movements. © 2020 by the authors.",Based programming; Electricity prices; Energy sector; Forecasting; Geometric semantic; Machine learning,Electric industry; Forecasting; Genetic algorithms; Genetic programming; Machine learning; Power markets; Accurate prediction; Dynamic environments; Electricity price forecasting; Forecasting electricity; Forecasting modeling; Machine learning approaches; Machine learning techniques; Market participants; Costs,5,1,1,1,Article,5,
"Jahangir H., Tayarani H., Baghali S., Ahmadian A., Elkamel A., Golkar M.A., Castilla M.",A Novel Electricity Price Forecasting Approach Based on Dimension Reduction Strategy and Rough Artificial Neural Networks,2020,4,"An accurate electricity price forecasting (EPF) plays a vital role in the deregulated energy markets and has a specific effect on optimal management of the power system. Considering all the potent factors in determining the electricity prices - some of which have stochastic nature - makes this a cumbersome task. In this article, first, Grey correlation analysis is applied to select the effective parameters in EPF problem and eliminate redundant factors based on low correlation grades. Then, a deep neural network with stacked denoising auto-encoders has been utilized to denoise data sets from different sources individually. After that, to detect the main features of the input data and putting aside the unnecessary features, dimension reduction process is implemented. Finally, the rough structure artificial neural network (ANN) has been executed to forecast the day-ahead electricity price. The proposed method is implemented on the data of Ontario, Canada, and the forecasted results are compared with different structures of ANN, support vector machine, long short-term memory - benchmarking methods in this field - and forecasting data reported by independent electricity system operator (IESO) to evaluate the efficiency of the proposed approach. Furthermore, the results of this article indicate that the proposed method is efficient in terms of reducing error criterion and improves the forecasting error about 5-10 percent in comparison with IESO. This is a remarkable achievement in EPF field. © 2005-2012 IEEE.",Deep learning (DL); denoising; dimension reduction (DR); price forecasting; rough neuron,Deep neural networks; Deregulation; Forecasting; Neural networks; Stochastic systems; Support vector machines; De-noising; Deregulated energy market; Dimension reduction; Electricity price forecasting; Electricity System Operators; Grey correlation analysis; Price forecasting; Rough neuron; Power markets,5,1,1,1,Article,1,a
"Wang J., Yang W., Du P., Niu T.",Outlier-robust hybrid electricity price forecasting model for electricity market management,2020,5,"Electricity market management is of great importance for cleaner production in the development of society. However, despite this significance, electricity price forecasting remains a challenging task. Hybrid models are widely employed for forecasting electricity price, which has the characteristics of being non-stationarity, random, and non-linear. Despite their success, current hybrid models require improvement. In particular, data preprocessing, artificial intelligence optimization, feature selection, and basic forecasting engine selection should be considered. In this study, in addition to these issues, we consider the negative influence of outliers on the modeling of electricity price. In particular, a novel outlier-robust hybrid model is developed for forecasting electricity price, which combines a basic forecasting engine called outlier-robust extreme learning machine model and three new algorithms. Specifically, a new optimizer called chaotic sine cosine algorithm is developed to obtain the ideal parameters for phase space reconstruction, and then a novel feature selection method is developed to construct the optimal features in the modeling of electricity price. Moreover, an effective data preprocessing method is proposed for effective forecasting by capturing electricity price features. Subsequently, experiments based on electricity price data from the electricity markets of Australia and Singapore demonstrate that the proposed model is superior to other benchmark models. Further, the model can be a reliable forecasting method not only in electricity market management, but also in modeling time series with complex nonlinear characteristics and outliers. © 2019 Elsevier Ltd",Electricity market; Electricity price; Hybrid model; Multi-step forecasting,Commerce; Electric industry; Engines; Feature extraction; Forecasting; Machine learning; Phase space methods; Pollution control; Statistics; Electricity price forecasting; Electricity prices; Extreme learning machine; Feature selection methods; Hybrid model; Multi-step forecasting; Nonlinear characteristics; Phase space reconstruction; Power markets,"4, 5",2,1,1,Article,1,b
"Alshejari A., Kodogiannis V.S., Leonidis S.",Development of neurofuzzy architectures for electricity price forecasting,2020,1,"In 20th century, many countries have liberalized their electricity market. This power markets liberalization has directed generation companies as well as wholesale buyers to undertake a greater intense risk exposure compared to the old centralized framework. In this framework, electricity price prediction has become crucial for any market player in their decision‐making process as well as strategic planning. In this study, a prototype asymmetric‐based neuro‐fuzzy network (AGFINN) architecture has been implemented for short‐term electricity prices forecasting for ISO New England market. AGFINN framework has been designed through two different defuzzification schemes. Fuzzy clustering has been explored as an initial step for defining the fuzzy rules while an asymmetric Gaussian membership function has been utilized in the fuzzification part of the model. Results related to the minimum and maximum electricity prices for ISO New England, emphasize the superiority of the proposed model over well‐established learning‐based models. © 2020 by the authors.",Clustering; Day‐ahead electricity price forecasting; Neural networks; Neurofuzzy systems; Prediction,Costs; Forecasting; Fuzzy inference; Membership functions; Network architecture; Neural networks; Risk management; Asymmetric Gaussian membership functions; Clustering; Defuzzification scheme; Electricity price forecasting; Electricity prices forecasting; Generation companies; Neuro-fuzzy architectures; Neurofuzzy system; Power markets,5,1,1,1,Article,3,
"Qu Z., Gao M., Liu Y., Lv H., Sun J., Li M., Liu W., Cui M.",Probability Prediction Method of Short-Term Electricity Price Based on Quantile Neural Network Model,2020,,"Aiming at the inaccuracy of short-term electricity price forecasting in competitive power markets, a probabilistic short-term electricity price forecasting method based on the quantile neural network model is proposed. First, a method for selecting electricity price similarity based on comprehensive influencing factors is designed to select the forecast data set with similar characteristics to the forecast date. The similar daily quantile regression algorithm is then combined with the generalized dynamic fuzzy neural network to construct a quantile neural network electricity price model for obtaining the predicted daily electricity price condition quantile. Finally, the kernel density function is used to convert the predicted daily electricity price condition quantile into the predicted probability density curve to realize short-term electricity price probability prediction. The data of the electricity market of the city of Dayton, Ohio in the United States is used as an example. The experimental results demonstrate that the proposed method can effectively improve the accuracy of short-term electricity price forecasting. © 2020, The Korean Institute of Electrical Engineers.",Electricity market; Probability forecasting; Quantile neural network model; Short-term price forecasting,Electric industry; Forecasting; Fuzzy logic; Fuzzy neural networks; Probability density function; Competitive power markets; Electricity price forecasting; Electricity price model; Generalized dynamic fuzzy neural networks; Neural network model; Probability density curve; Probability forecasting; Short-term price forecasting; Power markets,5,"1, 2",1,2,Article,3,
"Yang W., Wang J., Niu T., Du P.",A novel system for multi-step electricity price forecasting for electricity market management,2020,9,"Electricity price forecasting is an important and challenging issue for all participants in the power market because of the wide application of electricity in our society and its inherent features. In this context, some current forecasting systems use data preprocessing and optimization for theoretical and practical achievements. However, some limitations to these systems exist which need to be urgently solved. First, future information is overdrawn in the data preprocessing stage of these forecasting systems, which is actually unknown in practical applications. The crucial question, therefore, is how to develop a forecasting system without using any future information. Second, the complex features of original nonlinear and nonstationary electricity price have a negative influence on the generalization ability of these previously developed models. To decrease the negative effects on management, a method to develop a forecasting system to improve the model's generalization ability is required. Therefore, in this study, we developed an adaptive deterministic and probabilistic interval forecasting system for multi-step electricity price forecasting, which can present more valuable information to power market decision makers. Two cases and one comparative study are provided and analyzed to validate the performance of the developed system in multi-step electricity price forecasting. Furthermore, further discussions are presented to illustrate the significance of this study, thus proving that the results of the present study fill the present knowledge gap and provide some new future directions for related studies. © 2019 Elsevier B.V.",Deterministic forecasting; Electricity market; Electricity price; Interval forecasting; Multi-step forecasting,Commerce; Decision making; Electric industry; Forecasting; Comparative studies; Deterministic forecasting; Electricity price forecasting; Electricity prices; Forecasting system; Generalization ability; Interval forecasting; Multi-step forecasting; Power markets,5,1,1,2,Article,1,b
"Bisoi R., Dash P.K., Das P.P.",Short-term electricity price forecasting and classification in smart grids using optimized multikernel extreme learning machine,2020,4,"Short-term electricity price forecasting in deregulated electricity markets has been studied extensively in recent years but without significant reduction in price forecasting errors. Also demand-side management and short-term scheduling operations in smart grids do not require strictly very accurate forecast and can be executed with certain practical price thresholds. This paper, therefore, presents a multikernel extreme learning machine (MKELM) for both short-term electricity price forecasting and classification according to some prespecified price thresholds. The kernel ELM does not require the hidden layer mapping function to be known and produces robust prediction and classification in comparison with the conventional ELM using random weights between the input and hidden layers. Further in the MKELM formulation, the linear combination of the weighted kernels is optimized using vaporization precipitation-based water cycle algorithm (WCA) to produce significantly accurate electricity price prediction and classification. The combination of MKELM and WCA is named as WCA-MKELM in this work. To validate the effectiveness of the proposed approach, three electricity markets, namely PJM, Ontario and New South Wales, are considered for electricity price forecasting and classification producing fairly accurate results. © 2018, The Natural Computing Applications Forum.",Electricity price forecasting and classification; Extreme learning machine; Kernel extreme learning machine; Kernel functions; Mutated water cycle algorithm; Price thresholds,Commerce; Deregulation; Electric power transmission networks; Electric utilities; Forecasting; Knowledge acquisition; Machine learning; Scheduling; Smart power grids; Electricity price forecasting; Extreme learning machine; Kernel function; Price thresholds; Water cycle; Power markets,5,2,1,1,Article,1,b
"Qiao W., Yang Z.",Forecast the electricity price of U.S. using a wavelet transform-based hybrid model,2020,50,"Wavelet transform (WT), as a data preprocessing algorithm, has been widely applied in electricity price forecasting. However, this deterministic-based algorithm does not present stable performance owing to the experiential selection of its orders and layers. For determining the selection of WT's orders and layers in U.S. electricity prices forecasting, this paper designs a crossover experiment with 240 schemes of WT parameter selection and forecasts each scheme with stacked autoencoder (SAE) and long short-term memory (LSTM), generating a novel hybrid model WT-SAE-LSTM. The results show that the proposed model outperforms other AI models, such as back propagation neural network et al., in forecasting accuracy. The best performance of WT-SAE-LSTM in residential, commercial, and industrial electricity price cases obtained by five order four layers, five order four layers, and four order seven layers, where the MAPE is 0.8606%, 0.4719%, and 0.4956%, respectively. Additionally, the difference between the proposed forecasting model and the forecasting result of Energy Information Administration (U.S.) is small. This paper determines the optimal orders and layers of WT in U.S. electricity prices forecasting, which provides an effective reference for the application of WT in other forecasting scenarios and for electricity market participants. © 2019 Elsevier Ltd",Electricity price; Energy information administration; Forecasting; Long short-term memory; Stacked autoencoder; Wavelet transform,Backpropagation; Brain; Costs; Forecasting; Power markets; Wavelet transforms; Auto encoders; Back propagation neural networks; Crossover experiments; Electricity price forecasting; Electricity prices; Electricity prices forecasting; Energy Information Administration; Forecasting accuracy; Long short-term memory; algorithm; back propagation; electricity; energy market; equipment; forecasting method; numerical model; price dynamics; wavelet analysis; United States,5,2,1,1,Article,2,
