Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output
"Zheng K., Wang Y., Liu K., Chen Q.",Locational Marginal Price Forecasting: A Componential and Ensemble Approach,2020,1,"Short-term locational marginal price (LMP) forecasting is the traditional problem of market participants and other institutions maximizing their profit. Most electricity market organizers in the world release the data of LMP along with its three components, i.e., the energy, congestion, and loss components. The series of the three components have their own patterns and driving factors, and can be utilized to improve the accuracy of LMP forecasting. However, most existing studies have focused on direct LMP forecasting and have barely noticed this characteristic. In this paper, we aim to bridge the gap between the released data of the three components and LMP forecasting through a componential and ensemble approach. Three individual forecasting models are selected and trained for these components, and an ensemble framework that stacks the summation LMP results and the direct results is proposed to enhance the overall accuracy and robustness. Numerical experiments with real market data are conducted to show the good performance of this novel approach. © 2010-2012 IEEE.",electricity market; Locational marginal price; model stacking%; short-term forecasting; tree-based regression,Power markets; Driving factors; Ensemble approaches; Forecasting models; Locational marginal price forecasting; Market participants; Numerical experiments; Overall accuracies; Three component; Forecasting,4,1,1,1
"Janke T., Steinke F.",Probabilistic multivariate electricity price forecasting using implicit generative ensemble post-processing,2020,,"The reliable estimation of forecast uncertainties is crucial for risk-sensitive optimal decision making. In this paper, we propose implicit generative ensemble post-processing, a novel framework for multivariate probabilistic electricity price forecasting. We use a likelihood-free implicit generative model based on an ensemble of point forecasting models to generate multivariate electricity price scenarios with a coherent dependency structure as a representation of the joint predictive distribution. Our ensemble post-processing method outperforms well-established model combination benchmarks. This is demonstrated on a data set from the German day-Ahead market. As our method works on top of an ensemble of domain-specific expert models, it can readily be deployed to other forecasting tasks. © 2020 IEEE.",electricity price forecasting; ensemble learning; implicit generative models; Probabilistic forecasting,Forecasting; Processing; Risk perception; Dependency structures; Electricity price forecasting; Electricity prices; Ensemble post-processing; Forecast uncertainty; Forecasting models; Optimal decision making; Predictive distributions; Power markets,4,1,1,2
"Yang H., Schell K.R.",HFNet: Forecasting Real-Time Electricity Price via Novel GRU Architectures,2020,,"Electricity price forecasting is critical to numerous tasks in the power system such as strategic bidding, generation scheduling, optimal scheduling of storage reserves and system analysis. Most existing price forecasting models focus on hourly prediction for the day ahead market. This work focuses on the real-Time, 5-minute market, with the goal of developing a model able to capture both the long-and short-Term temporal distribution of the data. Extending the recent advances in deep learning models of time series forecasting, the proposed model-named HFnet-is a novel multi-branch Gated Recurrent Unit (GRU) architecture for electricity price forecasting. Extensive empirical analyses using real-Time data from the New York Independent System Operator (NYISO) illustrate the value of the proposed model when compared to state-of-Art prediction models, with an average reduction in error of 10%. © 2020 IEEE.",Deep Learning; feature engineering; GRU; price forecasting; Time Series Analysis; wavelet,Deep learning; Digital storage; Forecasting; Predictive analytics; Scheduling; Electricity price forecasting; Electricity prices; Empirical analysis; Generation scheduling; Independent system operators; Optimal scheduling; Strategic bidding; Temporal distribution; Power markets,5,1,1,1
"MacIejowska K., Uniejewski B., Serafin T.",PCA forecast averaging - Predicting day-ahead and intraday electricity prices,2020,,"Recently, the development in combining point forecasts of electricity prices obtained with different length of calibration windows have provided an extremely efficient and simple tool for improving predictive accuracy. However, the proposed methods are strongly dependent on expert knowledge and may not be directly transferred from one to another model or market. Hence, we consider a novel extension and propose to use principal component analysis (PCA) to automate the procedure of averaging over a rich pool of predictions. We apply PCA to a panel of over 650 point forecasts obtained for different calibration windows length. The robustness of the approach is evaluated with three different forecasting tasks, i.e., forecasting day-ahead prices, forecasting intraday ID3 prices one day in advance, and finally very short term forecasting of ID3 prices (i.e., six hours before delivery). The empirical results are compared using the Mean Absolute Error measure and Giacomini and White test for conditional predictive ability (CPA). The results indicate that PCA averaging not only yields significantly more accurate forecasts than individual predictions but also outperforms other forecast averaging schemes. © 2020 by the authors.",Day-ahead market; Decision-making; Electricity price forecasting; EPF; Forecast averaging; Intraday market; Principal component analysis,Calibration; Costs; Day-ahead prices; Electricity prices; Expert knowledge; Individual prediction; Mean absolute error; Predictive abilities; Predictive accuracy; Very short term forecasting; Forecasting,5,1,"1, 3",1
"Gianfreda A., Ravazzolo F., Rossini L.",Comparing the forecasting performances of linear models for electricity prices with high RES penetration,2020,1,"We compare alternative univariate versus multivariate models and frequentist versus Bayesian autoregressive and vector autoregressive specifications for hourly day-ahead electricity prices, both with and without renewable energy sources. The accuracy of point and density forecasts is inspected in four main European markets (Germany, Denmark, Italy, and Spain) characterized by different levels of renewable energy power generation. Our results show that the Bayesian vector autoregressive specifications with exogenous variables dominate other multivariate and univariate specifications in terms of both point forecasting and density forecasting. © 2020 The Authors",Demand; Electricity markets; Fossil fuels; Hourly prices; Point and density forecasting; Renewable energy sources,,4,1,1,"1, 2"
"Gulay E., Duru O.",Hybrid modeling in the predictive analytics of energy systems and prices,2020,,"The aim of this paper is to illustrate the nature of the residuals of a forecasting process and to propose a hybrid approach with linear and nonlinear components predicted by corresponding methodologies. It is a common practice that residuals are assumed to be unpredictable or are reiterated into a model as lagged variables to capture any information remaining in the residual data. The central argument of this paper is that residuals from energy price forecasting can still carry predictive information in its complex and nonlinear form. Although the linear modeling is initially very accurate, reiterating residuals in linear structures is a mismatch of data type and methodology. In this regard, the proposed algorithm hybridizes or combines linear components captured by the Autoregressive Distributed Lag Model (ARDL) and nonlinear components processed by the Empirical Mode Decomposition (EMD) and an Artificial Neural Network (ANN) to improve post-sample accuracy. The conventional reiterative process can improve in-sample accuracy, which literally has no value for business forecasting practices. Through a fair benchmark comparison, including methodologies of other combinations, the proposed algorithm is cross-validated by predictive accuracy gain in the out-of-sample (holdout) dataset. © 2020 Elsevier Ltd",Combination forecasting; Energy markets; Energy prices; Price discovery; Price forecasting; Residual modeling,Costs; Forecasting; Neural networks; Signal processing; Autoregressive distributed lag models; Benchmark comparison; Business forecasting; Empirical Mode Decomposition; Linear components; Nonlinear components; Predictive accuracy; Predictive information; Predictive analytics; accuracy assessment; algorithm; artificial neural network; data set; energy market; forecasting method,"4, 5",2,1,1
"Imani M.H., Bompard E., Colella P., Huang T.",Predictive methods of electricity price: An application to the Italian electricity market,2020,,"Price forecasting is a crucial element for the members of the electricity markets and business decision making to maximize their profits. The electricity prices have an impact on the behavior of market participants, and thus, predicting prices for generation companies, and consumers is essential for both the short-term profits in the Day-Ahead, Intra-Day and Ancillary markets, and the long-term benefits in the future planning, investment, and risk management. Therefore, participants in the electricity market need to accurately and effectively predict the price signal to manage market risk. In this paper, different forecasting models have been compared, and the most promising ones have been employed to forecast the short term Italian electricity market clearing price for achieving forecasting accuracy. In particular, simulations are performed for four principal regression methods, including Support Vector Machine, Gaussian Processes Regression, Regression Trees, and Multi-Layer Perceptron. The performance of predicted models is compared through several performance metrics, including MAE, RMSE, R, and the total number of percentage error anomalies. The results indicate the SVM is the best choice for forecasting the electricity market price on the Italian case study. © 2020 IEEE.",Artificial neural network; Electricity price prediction; Italian electricity market; Machine learning; PUN,Consumer behavior; Costs; Decision making; Electric industry; Electric power generation; Forecasting; Investments; Multilayer neural networks; Profitability; Risk management; Support vector machines; Support vector regression; Forecasting accuracy; Forecasting models; Gaussian processes regressions; Generation companies; Market Clearing Price; Market participants; Multi layer perceptron; Performance metrics; Power markets,5,1,1,1
"De Simon-Martin M., Bracco S., Rosales-Asensio E., Piazza G., Delfino F., Giribone P.G.","Electricity Spot Prices Forecasting for MIBEL by using Deep Learning: A comparison between NAR, NARX and LSTM networks",2020,,"In the latest times, power markets in Europe, including the Spanish one called MIBEL (Mercado Ibérico de Electricidad), are being deregulated and coupled. As a result, electricity can be easily purchased and sold across further areas and countries. On the other hand, trying to guarantee renewable projects profitability, Power Purchase Agreements and Options contracts are arising as a feasible solution. The problem arises when the power plant owners have to negotiate the purchase electricity price in order to optimize risks and profits, as well as make future plans. Thus, several methods for Electricity Price Forecasting (EPF) have been developed and presented, showing different results, as market spot prices suffer from strong seasonality, spikes and high volatility. In this paper, three methods, based on Deep Learning Dynamic Neural Networks (NAR, NARX and LSTM) applied to forecast MIBEL electricity spot prices are discussed in order to evaluate their adequacy, accuracy and reliable horizon. © 2020 IEEE.",Deep Learning Dynamic Neural Networks; Electricity Markets; Electricity Price Forecasting; LSTM; NAR; NARX; Time Series,Costs; Deep neural networks; Deregulation; Forecasting; Long short-term memory; Power markets; Profitability; Sales; Dynamic neural networks; Electricity price forecasting; Electricity prices; Electricity spot price; Feasible solution; High volatility; Power purchase agreement; Renewable projects; Deep learning,5,1,1,1
"Roungkvist J.S., Enevoldsen P., Xydis G.",High-resolution electricity spot price forecast for the danish power market,2020,1,"Energy markets with a high penetration of renewables are more likely to be challenged by price variations or volatility, which is partly due to the stochastic nature of renewable energy. The Danish electricity market (DK1) is a great example of such a market, as 49% of the power production in DK1 is based on wind power, conclusively challenging the electricity spot price forecast for the Danish power market. The energy industry and academia have tried to find the best practices for spot price forecasting in Denmark, by introducing everything from linear models to sophisticated machine-learning approaches. This paper presents a linear model for price forecasting-based on electricity consumption, thermal power production, wind production and previous electricity prices-to estimate long-term electricity prices in electricity markets with a high wind penetration levels, to help Utilities and asset owners to develop risk management strategies and for asset valuation. © 2020 by the authors.",Big data; Electricity spot price forecast; Power markets; Renewable energy; Wind power,academic research; best management practice; electricity generation; energy market; estimation method; machine learning; price dynamics; stochasticity; wind power; Denmark,4,2,1,1
"Castelli M., Groznik A., Popovič A.",Forecasting electricity prices: A machine learning approach,2020,,"The electricity market is a complex, evolutionary, and dynamic environment. Forecasting electricity prices is an important issue for all electricity market participants. In this study, we shed light on how to improve electricity price forecasting accuracy through the use of a machine learning technique-namely, a novel genetic programming approach. Drawing on empirical data from the largest EU energy markets, we propose a forecasting model that considers variables related to weather conditions, oil prices, and CO2 coupons and predicts energy prices 24 h ahead. We show that the proposed model provides more accurate predictions of future electricity prices than existing prediction methods. Our important findings will assist the electricity market participants in forecasting future price movements. © 2020 by the authors.",Based programming; Electricity prices; Energy sector; Forecasting; Geometric semantic; Machine learning,Electric industry; Forecasting; Genetic algorithms; Genetic programming; Machine learning; Power markets; Accurate prediction; Dynamic environments; Electricity price forecasting; Forecasting electricity; Forecasting modeling; Machine learning approaches; Machine learning techniques; Market participants; Costs,5,1,1,1
"Jahangir H., Tayarani H., Baghali S., Ahmadian A., Elkamel A., Golkar M.A., Castilla M.",A Novel Electricity Price Forecasting Approach Based on Dimension Reduction Strategy and Rough Artificial Neural Networks,2020,4,"An accurate electricity price forecasting (EPF) plays a vital role in the deregulated energy markets and has a specific effect on optimal management of the power system. Considering all the potent factors in determining the electricity prices - some of which have stochastic nature - makes this a cumbersome task. In this article, first, Grey correlation analysis is applied to select the effective parameters in EPF problem and eliminate redundant factors based on low correlation grades. Then, a deep neural network with stacked denoising auto-encoders has been utilized to denoise data sets from different sources individually. After that, to detect the main features of the input data and putting aside the unnecessary features, dimension reduction process is implemented. Finally, the rough structure artificial neural network (ANN) has been executed to forecast the day-ahead electricity price. The proposed method is implemented on the data of Ontario, Canada, and the forecasted results are compared with different structures of ANN, support vector machine, long short-term memory - benchmarking methods in this field - and forecasting data reported by independent electricity system operator (IESO) to evaluate the efficiency of the proposed approach. Furthermore, the results of this article indicate that the proposed method is efficient in terms of reducing error criterion and improves the forecasting error about 5-10 percent in comparison with IESO. This is a remarkable achievement in EPF field. © 2005-2012 IEEE.",Deep learning (DL); denoising; dimension reduction (DR); price forecasting; rough neuron,Deep neural networks; Deregulation; Forecasting; Neural networks; Stochastic systems; Support vector machines; De-noising; Deregulated energy market; Dimension reduction; Electricity price forecasting; Electricity System Operators; Grey correlation analysis; Price forecasting; Rough neuron; Power markets,5,1,1,1
"Wang J., Yang W., Du P., Niu T.",Outlier-robust hybrid electricity price forecasting model for electricity market management,2020,5,"Electricity market management is of great importance for cleaner production in the development of society. However, despite this significance, electricity price forecasting remains a challenging task. Hybrid models are widely employed for forecasting electricity price, which has the characteristics of being non-stationarity, random, and non-linear. Despite their success, current hybrid models require improvement. In particular, data preprocessing, artificial intelligence optimization, feature selection, and basic forecasting engine selection should be considered. In this study, in addition to these issues, we consider the negative influence of outliers on the modeling of electricity price. In particular, a novel outlier-robust hybrid model is developed for forecasting electricity price, which combines a basic forecasting engine called outlier-robust extreme learning machine model and three new algorithms. Specifically, a new optimizer called chaotic sine cosine algorithm is developed to obtain the ideal parameters for phase space reconstruction, and then a novel feature selection method is developed to construct the optimal features in the modeling of electricity price. Moreover, an effective data preprocessing method is proposed for effective forecasting by capturing electricity price features. Subsequently, experiments based on electricity price data from the electricity markets of Australia and Singapore demonstrate that the proposed model is superior to other benchmark models. Further, the model can be a reliable forecasting method not only in electricity market management, but also in modeling time series with complex nonlinear characteristics and outliers. © 2019 Elsevier Ltd",Electricity market; Electricity price; Hybrid model; Multi-step forecasting,Commerce; Electric industry; Engines; Feature extraction; Forecasting; Machine learning; Phase space methods; Pollution control; Statistics; Electricity price forecasting; Electricity prices; Extreme learning machine; Feature selection methods; Hybrid model; Multi-step forecasting; Nonlinear characteristics; Phase space reconstruction; Power markets,"4, 5",2,1,1
