Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Document Type
"Negnevitsky M., Mandal P., Srivastava A.K.","Machine learning applications for load, price and wind power prediction in power systems",2009,36.0,"This paper reviews main forecasting techniques used for power system applications. Available forecasting techniques have been discussed with focus on electricity load and price forecasting as well as wind power prediction. Forecasting problems have been classified based on time frame, application specific area and forecasting techniques. Appropriate examples based on data pertaining to the Victorian electricity market, Australia and the PJM electricity market, U.S.A. are used to demonstrate the functioning of the developed neural network (NN) method based on similar days approach to predict hourly electricity load and price, respectively. The other important problem faced by power system utilities are the variability and non-schedulable nature of wind farm power generation. These inherent characteristics of wind power have both technical and commercial implications for efficient planning and operation of power systems. To address the wind power issues, this paper presents the application of an Adaptive Neural Fuzzy Inference System (ANFIS) to very short-term wind forecasting utilizing a case study from Tasmania, Australia. © 2009 IEEE.",Adaptive neuro-fuzzy inference system (ANFIS); Neural network (NN); Short-term load forecasting; Shortterm price forecasting; Very short-term wind power prediction,"Adaptive neural fuzzy inference systems; Adaptive neuro-fuzzy inference system; Application specific; Australia; Efficient planning; Electricity load; Electricity market; Forecasting problems; Forecasting techniques; Machine learning applications; ON time; Operation of power system; Power system applications; Power systems; Price forecasting; Short term load forecasting; Short-term price forecasting; Similar days approach; Tasmania , Australia; Wind farm; Costs; Electric power generation; Electric power systems; Electric utilities; Fuzzy inference; Fuzzy systems; Intelligent systems; Neural networks; Technological forecasting; Weather forecasting; Wind power; Electric load forecasting",Conference Paper
"Arciniegas A.I., Arciniegas Rueda I.E.",Forecasting short-term power prices in the Ontario Electricity Market (OEM) with a fuzzy logic based inference system,2008,36.0,"The Ontario Electricity Market (OEM), which opened in May 2002, is relatively new and is still under change. In addition, the bidding strategies of the participants are such that the relationships between price and fundamentals are non-linear and dynamic. The lack of market maturity and high complexity hinders the use of traditional statistical methodologies (e.g., regression analysis) for price forecasting. Therefore, a flexible model is needed to achieve good forecasting in OEM. This paper uses a Takagi-Sugeno-Kang (TSK) fuzzy inference system in forecasting the one-day-ahead real-time peak price of the OEM. The forecasting results of TSK are compared with those obtained by traditional statistical and neural network based forecasting. The comparison suggests that TSK has considerable value in forecasting one-day-ahead peak price in OEM. © 2007 Elsevier Ltd. All rights reserved.",Electricity price forecasting; Fuzzy logic; Fuzzy reasoning; OEM; Statistical models,electrical power; energy market; fuzzy mathematics; price determination; statistical analysis; Canada; North America; Ontario [Canada],Article
"Swider D.J., Weber C.",Bidding under price uncertainty in multi-unit pay-as-bid procurement auctions for power systems reserve,2007,36.0,"In this paper a methodology for profit maximized bidding under price uncertainty in a day-ahead, multi-unit and pay-as-bid procurement auction for power systems reserve is proposed. Within this novel methodology a bidder is considered to follow a Bayes-strategy. Thereby, one bidder is assumed to behave strategically and the behavior of the remaining is summarized in a probability distribution of the market price and a reaction function to price dumping by the strategic bidder. With this approach two problems arise: First, as a pay-as-bid auction is considered, no uniform price and therefore no single probability distribution of the market price is readily available. Second, if historic bidding data of all participants are used to estimate such a distribution and market power is a relevant factor, the bid of the strategically behaving bidder is likely to influence the distribution. Within this paper for both of the problems solutions are presented. It is shown that by estimating a probability of acceptance the optimal bidding price with respect to a given capacity can be calculated by maximizing a stochastic non-linear objective function of expected profit. Taking the characteristics of recently established markets in Germany into account, the methodology is applied using exemplary data. It is shown that the methodology helps to manage existing price uncertainties and hence supports the trading decisions of a bidder. It is inferred that the developed methodology may also be used for bidding on other auction markets with a similar market design. © 2006 Elsevier B.V. All rights reserved.",Bayes-strategy; Bidding; Decision support; Multi-unit; Pay-as-bid; Power systems reserve; Price uncertainty; Procurement auction,Cost accounting; Decision support systems; Nonlinear programming; Optimization; Probability distributions; Stochastic programming; Bayes strategy; Power systems reserves; Price uncertainty; Procurement auction; Electric power systems,Article
"Jin C.H., Pok G., Lee Y., Park H.-W., Kim K.D., Yun U., Ryu K.H.",A SOM clustering pattern sequence-based next symbol prediction method for day-ahead direct electricity load and price forecasting,2015,35.0,"In this paper, we propose a new day-ahead direct time series forecasting method for competitive electricity markets based on clustering and next symbol prediction. In the clustering step, pattern sequence and their topology relations are obtained from self organizing map time series clustering. In the next symbol prediction step, with each cluster label in the pattern sequence represented as a pair of its topologically identical coordinates, artificial neural network is used to predict the topological coordinates of next day by training the relationship between previous daily pattern sequence and its next day pattern. According to the obtained topology relations, the nearest nonzero hits pattern is assigned to next day so that the whole time series values can be directly forecasted from the assigned cluster pattern. The proposed method was evaluated on Spanish, Australian and New York electricity markets and compared with PSF and some of the most recently published forecasting methods. Experimental results show that the proposed method outperforms the best forecasting methods at least 3.64%. © 2014 Elsevier Ltd. All rights reserved.",Artificial neural network; Clustering; Pattern sequence; Self organizing feature map; Time series forecasting; Topology relations,Commerce; Conformal mapping; Forecasting; Neural networks; Self organizing maps; Time series; Topology; Clustering; Competitive electricity markets; Forecasting methods; Pattern sequences; Prediction methods; Self-organizing feature map; Time series clustering; Time series forecasting; Electric load forecasting,Article
"Voronin S., Partanen J.",Price forecasting in the day-ahead energy market by an iterative method with separate normal price and price spike frameworks,2013,35.0,"A forecasting methodology for prediction of both normal prices and price spikes in the day-ahead energy market is proposed. The method is based on an iterative strategy implemented as a combination of two modules separately applied for normal price and price spike predictions. The normal price module is a mixture of wavelet transform, linear AutoRegressive Integrated Moving Average (ARIMA) and nonlinear neural network models. The probability of a price spike occurrence is produced by a compound classifier in which three single classification techniques are used jointly to make a decision. Combined with the spike value prediction technique, the output from the price spike module aims to provide a comprehensive price spike forecast. The overall electricity price forecast is formed as combined normal price and price spike forecasts. The forecast accuracy of the proposed method is evaluated with real data from the Finnish Nord Pool Spot day-ahead energy market. The proposed method provides significant improvement in both normal price and price spike prediction accuracy compared with some of the most popular forecast techniques applied for case studies of energy markets. © 2013 by the authors.",Compound classifier; Electricity price forecasts; Hybrid methodology; Input feature selection; Price spike forecasts,Commerce; Costs; Forecasting; Iterative methods; Mathematical transformations; Power quality; Wavelet transforms; Auto-regressive integrated moving average; Classification technique; Compound classifiers; Day-ahead energy markets; Electricity prices; Hybrid methodologies; Nonlinear neural networks; Price spike; Power markets,Article
"Hong Y.-Y., Wu C.-P.",Day-ahead electricity price forecasting using a hybrid principal component analysis network,2012,35.0,"Bidding competition is one of the main transaction approaches in a deregulated electricity market. Locational marginal prices (LMPs) resulting from bidding competition and system operation conditions indicate electricity values at a node or in an area. The LMP reveals important information for market participants in developing their bidding strategies. Moreover,LMP is also a vital indicator for the Security Coordinator to perform market redispatch for congestion management. This paper presents a method using a principal component analysis (PCA) network cascaded with a multi-layer feedforward (MLF) network for forecasting LMPs in a day-ahead market. The PCA network extracts essential features from periodic information in the market. These features serve as inputs to the MLF network for forecasting LMPs. The historical LMPs in the PJM market are employed to test the proposed method. It is found that the proposed method is capable of forecasting day-ahead LMP values efficiently. © 2012 by the authors.",Forecasting; Locational marginal price; Principal component analysis,Commerce; Costs; Deregulation; Forecasting; Power markets; Bidding strategy; Congestion management; Deregulated electricity market; Electricity price forecasting; Essential features; Hybrid principal component analysis; Locational marginal prices; Market participants; Principal component analysis,Article
"Erlwein C., Benth F.E., Mamon R.",HMM filtering and parameter estimation of an electricity spot price model,2010,35.0,"In this paper we develop a model for electricity spot price dynamics. The spot price is assumed to follow an exponential Ornstein-Uhlenbeck (OU) process with an added compound Poisson process. In this way, the model allows for mean-reversion and possible jumps. All parameters are modulated by a hidden Markov chain in discrete time. They are able to switch between different economic regimes representing the interaction of various factors. Through the application of reference probability technique, adaptive filters are derived, which in turn, provide optimal estimates for the state of the Markov chain and related quantities of the observation process. The EM algorithm is applied to find optimal estimates of the model parameters in terms of the recursive filters. We implement this self-calibrating model on a deseasonalised series of daily spot electricity prices from the Nordic exchange Nord Pool. On the basis of one-step ahead forecasts, we found that the model is able to capture the empirical characteristics of Nord Pool spot prices. © 2010 Elsevier B.V.",Adaptive filters; Electricity spot price; Forecasting; Hidden Markov model; Parameter estimation,Compound Poisson process; Discrete time; Electricity prices; Electricity spot price; EM algorithms; Hidden Markov chains; Markov Chain; Mean-reversion; Model parameters; Ornstein-Uhlenbeck process; Recursive filters; Reference probability; Self-calibrating; Spot price; Adaptive filtering; Adaptive filters; Algorithms; Costs; Electric filters; Electric load forecasting; Hidden Markov models; Lakes; Metal analysis; Optimization; Poisson distribution; Parameter estimation; algorithm; electricity supply; energy market; estimation method; forecasting method; Markov chain; modeling; parameterization; probability,Article
"Mandal P., Senjyu T., Uezato K., Funabashi T.",Several-hours-ahead electricity price and load forecasting using neural networks,2005,35.0,"In daily power markets, forecasting electricity prices and loads are the most essential task and basis for any decision making. An approach to predict the market behaviors is to use the historical prices, loads and other required information to forecast the future prices and loads. This paper introduces an approach for several-hours-ahead electricity price and load forecasting using artificial intelligence method, such as neural network model, which uses publicly available data from NEMMCO web site to forecast electricity prices and loads for the Victorian electricity market. An approach of selection of similar days is proposed according to which the load and price curves are forecasted by using the information of the days being similar to that of the forecast day. A Euclidean norm with weighted factors is used for the selection of similar days. Two different ANN models, one for several-hours-ahead load forecasting and another for several-hours-ahead price forecasting have been proposed. The forecasted price and load from the neural network is obtained by adding a correction to the selected similar days, and the correction is obtained from the neural network. MAPE results show that several-hours-ahead electricity price and load in the deregulated Victorian market can be forecasted with reasonable accuracy. ©2005 IEEE.",Neural networks; Power market; Price and load forecasting; Similar days approach,Electricity prices; Power market; Price and load forecasting; Similar days approach; Artificial intelligence; Electric load forecasting; Electric utilities; Mathematical models; Neural networks; Electric rates,Conference Paper
"Dai Y., Ni Y.X., Shen C.M., Wen F.S., Han Z.X., Wu F.F.",Study of reactive power marginal price in electricity market,2001,35.0,"Developing an accurate and feasible method for reactive power pricing is significant in the electricity market. The reactive power price cannot be obtained accurately by conventional optimal power flow models which usually ignore the production cost of reactive power. In this paper, the authors include the production cost of reactive power into the objective function of the optimal power flow problem, and use sequential quadratic programming method to solve the optimization problem and obtain reactive power marginal price accordingly. A five-bus test system is used for computer study. The results from eight study cases show clearly the effects of various factors on reactive power marginal price.",,Electric industry; Electric load dispatching; Electric load distribution; Electric load forecasting; Mathematical models; Problem solving; Quadratic programming; Reactive power; Utility rates; Power flow models; Reactive power marginal price; Electric power systems,Article
"Jakaša T., Andročec I., Sprčić P.",Electricity price forecasting ARIMA model approach,2011,34.0,Electricity price forecasting is becoming more important in everyday business of power utilities. Good forecasting models can increase effectiveness of producers and buyers playing roles in electricity market. Price is also a very important element in investment planning process. This paper presents a forecasting technique to model day-ahead spot price using well known ARIMA model to analyze and forecast time series. The model is applied to time series consisting of day-ahead electricity prices from EPEX power exchange. © 2011 IEEE.,,ARIMA models; Electricity market; Electricity price forecasting; Electricity prices; Forecast time; Forecasting models; Forecasting techniques; Investment planning; Power exchange; Power utility; Spot price; Commerce; Electric load forecasting; Electricity; Forecasting; Investments; Time series; Costs,Conference Paper
"Li Y., Flynn P.C.",Deregulated power prices: Comparison of volatility,2004,34.0,"We examine electrical power price variability for 14 deregulated markets. Power price volatility is measured by price velocity, the daily average of the absolute value of price change per hour. Deregulated markets show a wide variability in price velocity. Some price velocity is expected and arises from the daily diurnal price pattern, which differs significantly between markets. Even when the expected daily variability in price is removed, the residual unexpected variability differs between markets. Some deregulated markets, most notably Britain and Spain, show patterns that are predictable and consistent and have low values of unexpected price velocity. These markets create a climate conducive to consumers facing the market through real time pricing and shaping consumption behaviors in response to price changes. Other markets, for example, South Australia and Alberta, have patterns that are inconsistent and irregular, and hence are hard for a customer to interpret; a customer in such a market will have a higher incentive to avoid demand side management and escape risk through hedging mechanisms. © 2003 Elsevier Ltd. All rights reserved.",Demand side management; Deregulated electricity market; Power price volatility; Power prices; Price behaviour; Real time pricing,Costs; Electric power factor; Marketing; Risk assessment; Deregulated power prices; Diurnal price patterns; Price velocity; Energy policy; demand-side management; deregulation; energy market; price determination; Alberta; Australasia; Australia; Canada; North America,Article
"Kian A., Keyhani A.",Stochastic price modeling of electricity in deregulated energy markets,2001,34.0,"In this paper the problem of modeling electricity price dynamics in deregulated energy markets is studied. Since the nature of customers' energy consumption, market participants' strategic behavior and the power system reliability indices are stochastic processes, the electricity price model will be stochastic as well. In our analysis the price of electricity is modeled based on the customers' hourly consumption, day-ahead/real-time energy prices, generation and transmission outage schedules (evaluation of the power system reliability indices), spinning reserve requirements, demand elasticity and predicted strategic behavior of market participants.",Bidding strategies; Deregulated energy markets; Energy price; Optimal pricing tariffs; Price estimation; Spinning reserve price; Stochastic modeling; VOLL; Zonal model,Electric load management; Electric power generation; Electric power transmission; Energy utilization; Random processes; Reliability theory; Strategic planning; Deregulated energy markets; Electric rates,Article
"Wan C., Niu M., Song Y., Xu Z.",Pareto Optimal Prediction Intervals of Electricity Price,2017,33.0,This letter proposes a novel Pareto optimal prediction interval construction approach for electricity price combing extreme learning machine and non-dominated sorting genetic algorithm II (NSGA-II). The Pareto optimal prediction intervals are produced with respect to the formulated two objectives reliability and sharpness. The effectiveness of proposed approach has been verified through the numerical studies on Australia electricity market data. © 1969-2012 IEEE.,Electricity price; extreme learning machine; NSGA-II; prediction intervals,Costs; Forecasting; Genetic algorithms; Knowledge acquisition; Learning systems; Australia; Construction approaches; Electricity prices; Extreme learning machine; Non dominated sorting genetic algorithm ii (NSGA II); NSGA-II; Pareto-optimal; Prediction interval; Pareto principle,Article
"Sharma V., Srinivasan D.",A hybrid intelligent model based on recurrent neural networks and excitable dynamics for price prediction in deregulated electricity market,2013,33.0,"This paper examines electricity price time series from dynamical system perspective and proposes a hybrid model which employs a synergistic combination of Recurrent Neural Network (RNN) and coupled excitable system for prediction of future prices in deregulated electricity markets. Driven by profit maximizing decisions taken by various agents, these markets belong to the class of financial systems. However presence of intermittent spikes and complex dynamic nonlinearities in electricity price time series render the prediction task extremely challenging. The approximation ability of Recurrent Neural Networks to map dynamic functions together with sharp jumping attribute of coupled excitable systems allows close approximation of spiky time series. The developed hybrid model was applied for point and interval forecasting in various markets worldwide over different seasons for testing its adaptability in different environments. Satisfactory prediction results were obtained in all the markets, in stable as well as spiking regions of the time series. © 2013 Elsevier Ltd.",Excitable system; FHN coupled system; Multiple scale dynamics; Recurrent neural networks,Coupled systems; Deregulated electricity market; Excitable systems; Hybrid intelligent model; Multiple scale; Recurrent neural network (RNN); Satisfactory predictions; Synergistic combinations; Commerce; Costs; Dynamical systems; Profitability; Recurrent neural networks; Time series; Forecasting,Article
Huisman R.,The influence of temperature on spike probability in day-ahead power prices,2008,33.0,"It is well known that day-ahead prices in power markets exhibit spikes and time-varying volatility. Spikes and extremely high volatility are the results of (short-term) frictions in demand and/or supply conditions. It is known that information on load or the reserve margin help to forecast spikes. However, these variables are not (timely) available for every market participant and this paper suggests to use temperature as a proxy. Interpreting the results from several switching-regimes models, the paper shows that the probability of spike occurrence increases when temperature deviates substantially from mean temperature levels. © 2008 Elsevier B.V. All rights reserved.",Day-ahead prices; Regime-switching models; Spikes; Temperature; Transition probability,"Competition; Probability; (I ,J) conditions; Elsevier (CO); High volatility; Mean temperatures; Power markets; Power pricing; Time-varying; Electric load forecasting; commodity price; crude oil; energy market; probability; temperature effect",Article
"Zhao J.H., Dong Z.Y., Li X.",Electricity market price spike forecasting and decision making,2007,33.0,"Forecasting price spikes is a timely issue for the deregulated electricity market. Traditional price forecasting techniques show poor performance in handling price spikes, which usually follow a pattern different from the prices under normal market conditions. Therefore, novel approaches are required to forecast both the occurrences and values of spikes. In this paper a comprehensive study is conducted to investigate the performance of several data mining techniques for spike forecasting. Another major contribution of this paper is that a novel approach is proposed to integrate the spike forecasting process with decision-making, and to provide a comprehensive risk management tool against spikes. This approach is based on the Naïve Bayesian Classifier. The benefits/costs of possible decisions are considered in the spike forecasting process to achieve the maximum benefits from the decisions against price spikes. We give a comprehensive theoretical proof of the proposed Bayesian classifier with benefit maximisation (BCBM) approach, which empirically demonstrates its effectiveness by achieving promising experiment results on real market price datasets. © The Institution of Engineering and Technology 2007.",,Cost benefit analysis; Data mining; Data structures; Decision making; Optimization; Risk management; Bayesian Classifiers; Risk management tools; Spike forecasting processes; Electric utilities,Article
"Lo K.L., Wu Y.K.",Analysis of relationships between hourly electricity price and load in deregulated real-time power markets,2004,33.0,"Risk management in the electric power industry involves measuring the risk for all instruments owned by a company. The value of many of these instruments depends directly on electricity prices. In theory, the wholesale price in a real-time market should reflect the short-run marginal cost, However, most markets are not perfectly competitive, therefore by understanding the degree of correlation between price and physical drivers, electric traders and consumers can manage their risk more effectively and efficiently. Market data from two power-pool architectures, both pre-2003 ISO-NE and Australia's NEM, have been studied. The dynamic character of electricity price is mean-reverting, and consists of intra-day and weekly variations, seasonal fluctuations, and instant jumps. Parts of them are affected by load demands. Hourly signals on both price and load are divided into deterministic and random components with a discrete fourier transform algorithm. Next, the real-time price-load relationship for periodic and random signals is examined. In addition, time-varying volatility models are constructed on random price and random load with the GARCH (1,1) model, and the correlation between them analysed. Volatility plays a critical role on evaluating option pricing and risk management.",,Algorithms; Competitive intelligence; Computer simulation; Costs; Electric loads; Forecasting; Fourier transforms; Frequencies; Mathematical models; Risk management; Transfer functions; Electric power industry; Electric traders; Electricity price; Real-time power markets; Electric power systems,Conference Paper
Robinson T.A.,Electricity pool prices: A case study in nonlinear time-series modelling,2000,33.0,"This paper considers modelling the behaviour of prices in the English and Welsh wholesale electricity Pool since the creation of this spot market in 1990. The process turns out to be nonlinear and a logistic smooth transition autoregressive model is fitted and shown to be superior to a linear alternative. The behaviour of the estimated model is discussed, and it is seen that nonlinearity is needed to describe the institutional characteristics and historical path of pool prices.",,electricity industry; energy market; price dynamics; United Kingdom,Article
"De Vany A.S., Walls W.D.",Price Dynamics in a Network of Decentralized Power Markets,1999,33.0,"In this paper, we model the dynamic behavior of prices in a network of interconnected, but decentralized, electric power markets-an architecture very different from the centralized exchanges and power pools currently being implemented by many state regulators. We estimate dynamic equations of unregulated, wholesale power prices at spot markets scattered over an eleven-state trading region. The results indicate that this decentralized system of power and transmission trading produces prices that are efficient and dynamically stable over this vast network, Price convergence in the power market is similar to what has been observed in the recently deregulated natural gas market.",,,Article
"Singh N., Mohanty S.R., Dev Shukla R.",Short term electricity price forecast based on environmentally adapted generalized neuron,2017,32.0,"The liberalization of the power markets gained a remarkable momentum in the context of trading electricity as a commodity. With the upsurge in restructuring of the power markets, electricity price plays a dominant role in the current deregulated market scenario which is majorly influenced by the economics being governed. In the deregulated environment price forecasting is an important aspect for the power system planning. The problem of price forecasting can be entirely viewed as a signal processing problem with proper estimation of model parameters, modeling of uncertainties, etc. Among the different existing models the artificial neural network based models have gained wide popularity due their black box structure but it too has its own limitations. In the proposed work in order to overcome the limitations of the classical artificial neural network model, generalized neuron model is used for forecasting the short term electricity price of Australian electricity market. The pre-processing of the input parameters is accomplished using wavelet transform for better representation of the low and high frequency components. The free parameters of the generalized neuron model are tuned using environment adaptation method algorithm for increasing the generalization ability and efficacy of the model. © 2017 Elsevier Ltd",Environment adaptation method; Generalized neuron model; IEAM; Price forecasting; Wavelet transform,Commerce; Costs; Deregulation; Electronic trading; Forecasting; Neural networks; Neurons; Parameter estimation; Signal processing; Uncertainty analysis; Wavelet transforms; Artificial neural network modeling; Australian electricity market; Environment adaptation; Generalized neuron; IEAM; Low and high frequencies; Price forecasting; Signal processing problems; Power markets; algorithm; analytical method; artificial neural network; commodity price; electricity; energy market; energy planning; forecasting method; market conditions; numerical model; price dynamics; transform; wavelet analysis; Australia,Article
"Aneiros G., Vilar J., Raña P.",Short-term forecast of daily curves of electricity demand and price,2016,32.0,"The features of the electricity, as well as the rules of the competitive electricity markets, create the need of accurate predictions of electricity demand and price in order to anticipate decisions. Mainly, the prediction task in energy markets has been studied in the literature with the aim of obtaining scalar (hourly, daily, ...) forecasts given scalar (and/or, less frequently, functional) historical data. This paper provides two methods to predict next-day electricity demand and price daily curves given information from past curves. They are based on using robust functional principal component analysis and nonparametric models with functional both response and covariate. In addition, the nonparametric proposal is extended to incorporate, in a linear way, exogenous scalar covariates. Results of these methods for the electricity market of mainland Spain, in year 2012, are reported. Their accuracy is compared with that of a naïve method as well as with the corresponding to combining forecasts. Scalar versions are also included in the comparative study. This work extends and complements the methods and results in Vilar et al. (2012), focused on scalar forecasts. © 2016 Elsevier Ltd. All rights reserved.",Electricity markets; Functional data; Functional time series forecasting; Load and price,Commerce; Costs; Electric power utilization; Forecasting; Principal component analysis; Accurate prediction; Comparative studies; Competitive electricity markets; Functional datas; Functional principal component analysis; Functional time series; Non-parametric model; Short-term forecasts; Power markets,Article
"Nowotarski J., Weron R.",On the importance of the long-term seasonal component in day-ahead electricity price forecasting,2016,32.0,"In day-ahead electricity price forecasting (EPF) the daily and weekly seasonalities are always taken into account, but the long-term seasonal component (LTSC) is believed to add unnecessary complexity to the already parameter-rich models and is generally ignored. Conducting an extensive empirical study involving state-of-the-art time series models we show that (i) decomposing a series of electricity prices into a LTSC and a stochastic component, (ii) modeling them independently and (iii) combining their forecasts can bring - contrary to a common belief - an accuracy gain compared to an approach in which a given time series model is calibrated to the prices themselves. © 2016 Elsevier B.V.",Day-ahead market; Electricity spot price; Forecasting; Long-term seasonal component,Costs; Forecasting; Stochastic models; Stochastic systems; Time series; Day ahead market; Electricity price forecasting; Electricity prices; Electricity spot price; Long-term seasonal component; Stochastic component; Time series modeling; Time series models; Power markets; complexity; electricity supply; forecasting method; price determination; stochasticity; time series analysis,Article
"Hellmers A., Zugno M., Skajaa A., Morales J.M.",Operational strategies for a portfolio of wind farms and CHP plants in a two-price balancing market,2016,32.0,"In this paper, we explore the portfolio effect of a system consisting of a combined heat and power (CHP) plant and a wind farm. The goal is to increase the overall profit of the portfolio by reducing imbalances and, consequently, their implicit penalty in a two-price balancing market for electricity. We investigate two different operational strategies, which differ in whether the CHP plant and the wind farm are operated jointly or independently, and we evaluate their economic performance on a real case study based on a CHP-wind system located in the western part of Denmark. We present a comprehensive mathematical model for describing the different heat and power production units of the CHP plant and suggest different ways of determining its operation in a setup with two trading floors: a day-ahead market and a balancing market. We build a simulation framework that runs in a rolling-horizon fashion, so that forecasts for heat demand, wind power production, and market prices are updated at each iteration. We conclude that the portfolio strategy is the most profitable due to the two-price structure of the balancing market. This encourages producers to handle their imbalances outside the market. © 1969-2012 IEEE.",Balancing market; combined heat and power (CHP); electricity market; optimal portfolio operation; wind power,Commerce; Costs; Electric power generation; Electric utilities; Power markets; Profitability; Wind power; Balancing market; Combined heat and power plants; Day ahead market; Economic performance; Operational strategies; Portfolio strategies; Simulation framework; Wind power production; Cogeneration plants,Article
"Jónsson T., Pinson P., Madsen H., Nielsen H.A.",Predictive densities for day-ahead electricity prices using time-adaptive quantile regression,2014,32.0,"A large part of the decision-making problems actors of the power system are facing on a daily basis requires scenarios for day-ahead electricity market prices. These scenarios are most likely to be generated based on marginal predictive densities for such prices, then enhanced with a temporal dependence structure. A semi-parametric methodology for generating such densities is presented: it includes: (i) a time-adaptive quantile regression model for the 5%-95% quantiles; and (ii) a description of the distribution tails with exponential distributions. The forecasting skill of the proposed model is compared to that of four benchmark approaches and the well-known the generalist autoregressive conditional heteroskedasticity (GARCH) model over a three-year evaluation period. While all benchmarks are outperformed in terms of forecasting skill overall, the superiority of the semi-parametric model over the GARCH model lies in the former's ability to generate reliable quantile estimates. © 2014 by the authors.",Density forecasting; Electricity prices; Non-stationarity; Quantile regression; Stochastic processes,Costs; Decision making; Forecasting; Random processes; Regression analysis; Stochastic systems; Autoregressive conditional heteroskedasticity; Day-ahead electricity market; Density forecasting; Electricity prices; Exponential distributions; Non-stationarities; Quantile regression; Semi-parametric modeling; Power markets,Article
"Li H., Han Z.",Manipulating the electricity power market via jamming the price signaling in smart grid,2011,32.0,"While enhancing the efficiency and agility to the power system, the communication infrastructure in smart grid also incurs vulnerabilities to the reliability of the power market and power grid. A novel attacking scheme is proposed, in which an attacker jams the signaling of power price and then ceases jamming when the power price has been significantly changed. The power users jammed by the attacker will make a rapid response to the changed power price, whose change direction can be predicted by the attacker. Then, the attacker can manipulate the price in the power market and thus makes profit. The abrupt change of power consumption will also cause a significant impact on the power grid stability. The effect of such an attack will be discussed both analytically and numerically. A countermeasure for this attack is also proposed. © 2011 IEEE.",,Communication infrastructure; Electricity power markets; Power grid stability; Power grids; Power markets; Power price; Power users; Rapid response; Significant impacts; Smart grid; Commerce; Jamming; Power quality; Profitability; Smart power grids; Costs,Conference Paper
"Sarkar V., Khaparde S.A.",DCOPF-based marginal loss pricing with enhanced power flow accuracy by using matrix loss distribution,2009,32.0,"On current days, many of the power markets are adopting the practice of marginal loss pricing. The dc optimal power flow (DCOPF) model is still mostly used for the purpose of market clearing owing to its simplicity, robustness and higher speed of convergence. Within the DCOPF framework, transmission line losses are represented as additional external loads on the system. In the classical DCOPF model of marginal loss pricing, as implemented in the New England market, the aggregated network loss is distributed over the system nodes in a fixed ratio. To gain more design flexibility in the distribution of system losses, a matrix loss distribution (MLD) framework is developed in this paper maintaining compatibility with financial transmission rights. In MLD, each individual line is considered separately for the purpose of loss distribution. The ratio in which the power loss in a certain line is distributed can be different from that in which the power loss in another line is distributed. The additional design flexibility thus obtained assists in making a more accurate representation of the power flow. The benefit of MLD is illustrated through a case study. An energy reference independent application of MLD is also suggested. © 2009 IEEE.",Estimation-based loss distribution; Financial transmission rights; Locational marginal price; Marginal loss pricing; Matrix loss distribution; Power flow accuracy; Revenue adequacy; Vector loss distribution,Financial transmission rights; Locational marginal price; Marginal loss pricing; Matrix loss distribution; Power flow accuracy; Revenue adequacy; Commerce; Economics; Electric load flow; Light transmission; Power electronics; Costs,Article
"Zareipour H., Bhattacharya K., Cañizares C.A.",Forecasting the hourly ontario energy price by multivariate adaptive regression splines,2006,32.0,"Multivariate adaptive regression splines (MARS) technique is an adaptive non-parametric regression approach which has been used for various forecasting and data mining applications in recent years. This technique is more useful when a large number of explanatory variable candidates need to be considered. In this paper, the MARS technique is applied to forecast the hourly Ontario energy price (HOEP). The MARS models are developed in this work considering two scenarios for the explanatory variables. In the first scenario, the model is build based solely on the lagged values of the HOEP. In the second scenario, current and lagged values of the latest predispatch price and demand information, made available by the Ontario Independent Electricity System Operator (IESO), are also considered as explanatory variables. The forecasts generated by the developed models for high and low demand periods are significantly more accurate than the currently available forecasts for HOEP, demonstrating the MARS capability for electricity market price forecasting. ©2006 IEEE.",Electricity markets; Multivariate Adaptive Regression Splines (MARS); Price forecasting,Adaptive control systems; Mathematical models; Multivariable control systems; Regression analysis; Splines; Electricity markets; Independent Electricity System Operator (IESO); Multivariate Adaptive Regression Splines (MARS); Price forecasting; Electrical engineering,Conference Paper
"Hong Y.-Y., Hsiao C.-Y.",Locational marginal price forecasting in deregulated electric markets using a recurrent neural network,2001,32.0,"Recently, deregulation has had a great impact on the electric power industry in various countries. Bidding competition is one of the main transaction approaches after deregulation. Locational marginal prices (LMPs) resulting from bidding competition signal electricity values at a node or in an area. This paper presents a method using Recurrent Neural Networks (RNNs) for forecasting LMPs. These RNNs were trained/validated and tested with historical data from the PJM power system. It was found that the proposed neural networks are capable of forecasting LMP values efficiently.",Deregulation; Forecasting; Locational marginal price; Recurrent neural networks,Deregulation; Electric industry; Forecasting; Marketing; Recurrent neural networks; Deregulated electric markets; Locational marginal price; Electric power systems,Conference Paper
