Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benini M., Marracci M., Pelacchi P., Venturini A.",Day-ahead market price volatility analysis in deregulated electricity markets,2002,69.0,"The electricity market experiences pronounced short term volatility due to its peculiarities, first of all continuos load variations associated to the impossibility to profitably store electric energy. Electricity price forecast is extremely important for all market players and in particular for generating companies, that must manage their units, and the associated economic risk, in the short, medium and long term. In general, price volatility depends on a large number of parameters such as: fuel prices (often related to currency exchange rates), availability of generating units, hydro generation production, demand elasticity and variations, network congestion and management rules of any specific electricity market. This study provides an analysis of day-ahead spot market price volatility in Spain, California, UK and PJM markets. Electricity prices for the years 1999 and 2000 have been used for the study. The analysis has been carried out on the basis of an original definition of price volatility.",Energy management; Power system economics; Risk analysis; Strategic planning,Deregulation; Electric energy storage; Electric loads; Energy management; Industrial economics; Risk assessment; Strategic planning; Fuel prices; Price volatility; Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centolella P.,The integration of Price Responsive Demand into Regional Transmission Organization (RTO) wholesale power markets and system operations,2010,68.0,"A number of states and utilities are pursuing demand response based on dynamic and time-differentiated retail prices and utility investments in Advanced Metering Infrastructure (AMI), often as part of Smart Grid initiatives. These developments could produce large amounts of Price Responsive Demand, demand that predictably responds to changes in wholesale prices. Price Responsive Demand could provide significant reliability and economic benefits. However, existing RTO tariffs present potential barriers to the development of Price Responsive Demand. Effectively integrating Price Responsive Demand into RTO markets and operations will require changes in demand forecasting, scarcity pricing reform, synchronization of scarcity pricing with capacity markets, tracking voluntary hedging by price responsive loads, and a non-discriminatory approach in curtailments in capacity emergencies. The article describes changes in RTO policies and systems needed incorporate Price Responsive Demand.",Capacity markets; Demand forecasting; Price Responsive Demand; Regional Transmission Organization; Scarcity pricing,Commerce; Dynamic response; Economics; Electric load forecasting; Integration; Investments; Regenerators; Capacity markets; Demand forecasting; Demand response; Economic benefits; Number of state; ON dynamics; Potential barriers; Power markets; Price responsive demand; Price-responsive loads; Regional transmission organization; Retail price; Smart grid; System operation; Whole sale prices; Costs; cost-benefit analysis; demand analysis; market development; price dynamics; tariff structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"López-Lezama J.M., Contreras J., Padilha-Feltrin A.",Location and contract pricing of distributed generation using a genetic algorithm,2012,65.0,"This paper presents an approach based on a specialized genetic algorithm (GA) to determine the location and contract pricing of dispatchable distributed generation (DG) units in distribution systems. The proposed approach is based on a nonlinear bilevel programming framework that involves the interests of two different agents: the DG owner who procures the maximization of the profits obtained from the energy sales, and the Distribution Company (DisCo), which procures the minimization of the payments incurred in attending the forecasted demand. To meet the forecasted demand the DisCo can purchase energy either from the wholesale energy market or from the DG units within its network. The proposed GA determines both the location and contract pricing of the DG units that would render maximum profits to the DG owner, subject to the minimization of payments procured by the DisCo. To show the effectiveness of the proposed approach, several tests were carried out on a modified IEEE 34-bus and 85-bus distribution networks. © 2011 Elsevier Ltd. All rights reserved.",Distributed generation; Distribution systems; Genetic algorithms; Nonlinear bilevel programming,Contract pricing; DG unit; Distributed generation units; Distribution companies; Distribution systems; Nonlinear bilevel programming; Wholesale energy market; Distributed power generation; Profitability; Genetic algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jia L., Kim J., Thomas R.J., Tong L.",Impact of data quality on real-time locational marginal price,2014,64.0,"The problem of characterizing impacts of data quality on real-time locational marginal price (LMP) is considered. Because the real-time LMP is computed from the estimated network topology and system state, bad data that cause errors in topology processing and state estimation affect real-time LMP. It is shown that the power system state space is partitioned into price regions of convex polytopes. Under different bad data models, the worst case impacts of bad data on real-time LMP are analyzed. Numerical simulations are used to illustrate worst case performance for IEEE-14 and IEEE-118 networks. © 1969-2012 IEEE.",Bad data detection; cyber security of smart grid; locational marginal price (LMP); power system state estimation; real-time market,Electric power transmission networks; Location; State estimation; Topology; Bad data detections; Locational marginal prices; Power system state estimation; Real-time market; Smart grid; Smart power grids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finn P., Fitzpatrick C., Connolly D., Leahy M., Relihan L.",Facilitation of renewable electricity using price based appliance control in Ireland's electricity market,2011,64.0,"Abstract Ireland's share of electricity generated from RES-E (renewable energy sources) is due to increase from 14.4% in 2009 to 40% in 2020. With this target predominantly fulfilled with wind generated electricity, the need for increased grid flexibility to facilitate this intermittent energy source is becoming ever more significant. As smart metering becomes available, demand side participation will be one option for achieving this flexibility. Using an immersion heated hot water tank as an example, this paper examines the impact that price optimised load scheduling has on the facilitation of wind generated electricity. To replicate real-world data availability, optimisation is performed using day-ahead predicted prices while the results are calculated using final prices and metered generation data. The results demonstrate a correlation between the day-ahead predicted half-hourly price of electricity and real-time wind availability. This supports the use of price as a means of providing an incentive for load response in order to increase the amount of renewable energy that can be facilitated on the electrical grid. Furthermore, various thermal storage efficiencies were examined for the device to reveal that as the energy loss rate of the device is reduced, the financial savings increase, wind generation increases, and conventional generation decreases. © 2011 Elsevier Ltd.",Demand side management; Real-time pricing; Wind energy,Costs; Electricity; Energy dissipation; Heat storage; Water tanks; Wind power; Appliance controls; Conventional generation; Demand side managements; Demand-side; Electrical grids; Electricity market; Energy-loss rate; Financial savings; Hot water tanks; Hourly prices; Intermittent energy source; Ireland; Load response; Load scheduling; Optimisations; Price-based; Real time pricing; Real world data; Renewable electricity; Renewable energies; Renewable energy source; Smart metering; Thermal storage; Wind energy; Wind generation; Electric generators; data assimilation; demand-side management; electricity generation; electricity industry; energy market; energy resource; optimization; renewable resource; wind power; Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pirrong C., Jermakyan M.",The price of power: The valuation of power and weather derivatives,2008,59.0,"Pricing contingent claims on power presents numerous challenges due to (1) the unique behavior of power prices, and (2) time-dependent variations in prices. We propose and implement a model in which the spot price of power is a function of two state variables: demand (load) and fuel price. In this model, any power derivative price must satisfy a PDE with boundary conditions that reflect capacity limits and the non-linear relation between load and the spot price of power. Moreover, since power is non-storable and demand is not a traded asset, the power derivative price embeds a market price of risk. Using inverse problem techniques and power forward prices from the PJM market, we solve for this market price of risk function. During 1999-2001, the upward bias in the forward price was as large as $50/MWh for some days in July. By 2005, the largest estimated upward bias had fallen to $19/MWh. These large biases are plausibly due to the extreme right skewness of power prices; this induces left skewness in the payoff to short forward positions, and a large risk premium is required to induce traders to sell power forwards. This risk premium suggests that the power market is not fully integrated with the broader financial markets. © 2008.",Derivatives pricing; Electricity markets; Inverse techniques; Market price of risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li F., Bo R.",Congestion and price prediction under load variation,2009,56.0,"In market-based planning and operation, it is very useful to have the information of generation dispatch, congestion, and price as load increases. Therefore, it is beneficial to system planners if the congestion or locational marginal pricing (LMP) versus load is readily available. This can certainly be obtained by repetitively running an optimization model at different load levels. However, this approach is too brute-force to be practical. In this paper, an efficient algorithm is proposed to identify the new binding constraint and the new marginal unit set when the system load increases from the present load level. It addresses the challenge of step changes in generation dispatch when a generation or transmission limit becomes binding. The algorithm also gives the new sensitivity of the new marginal units. Therefore, the generation dispatch, congested lines, and LMP at a new critical load level (CLL) can be easily calculated. Test results are presented in matrix formulation to clearly demonstrate and verify the proposed algorithm. Since the proposed approach is based on linearized model, it should be particularly suitable for short-term planning or operation, although application to long-term planning is also possible. © 2009 IEEE.",Congestion management; Critical load level (CLL); Energy markets; Generation sensitivity; Locational marginal pricing (LMP); Optimal power flow (OPF); Power markets,Congestion management; Critical load level (CLL); Energy markets; Generation sensitivity; Locational marginal pricing (LMP); Optimal power flow (OPF); Power markets; Acoustic generators; Binding energy; Commerce; Costs; Electric load flow; Optimization; Power electronics; Loads (forces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee C.-C., Lee J.-D.","Energy prices, multiple structural breaks, and efficient market hypothesis",2009,53.0,"This paper investigates the efficient market hypothesis using total energy price and four kinds of various disaggregated energy prices - coal, oil, gas, and electricity - for OECD countries over the period 1978-2006. We employ a highly flexible panel data stationarity test of Carrion-i-Silvestre et al. [Carrion-i-Silvestre JL, Del Barrio-Castro T, Lopez-Bazo E. Breaking the panels: an application to GDP per capita. J Econometrics 2005;8:159-75], which incorporates multiple shifts in level and slope, thereby controlling for cross-sectional dependence through bootstrap methods. Overwhelming evidence in favor of the broken stationarity hypothesis is found, implying that energy prices are not characterized by an efficient market. Thus, it shows the presence of profitable arbitrage opportunities among energy prices. The estimated breaks are meaningful and coincide with the most critical events which affected the energy prices. © 2008 Elsevier Ltd. All rights reserved.",Efficient market hypothesis; Energy prices; Multiple structural breaks; OECD; Panel data stationarity test,Commerce; Costs; Economics; Statistics; Efficient market hypothesis; Energy prices; OECD; Stationarity; Structural break; Energy efficiency; bootstrapping; energy efficiency; energy market; Gross Domestic Product; hypothesis testing; OECD; price dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lutz B.J., Pigorsch U., Rotfuß W.",Nonlinearity in cap-and-trade systems: The EUA price and its fundamentals,2013,50.0,"In this paper we examine the nonlinear relation between the EUA price and its fundamentals, such as energy prices, macroeconomic risk factors and weather conditions. By estimating a Markov regime-switching model, we find that the relation between the EUA price and its fundamentals varies over time. In particular, we are able to identify a low and a high volatility regime, both showing a strong impact of the fundamentals on the EUA price. The most important EUA price drivers are changes on the stock market and energy prices. The gas price and a broad European equity index affect the EUA price positively in both regimes, while the coal price and the oil price have a significant, but also positive impact only during the high and the low volatility regime, respectively. The high volatility regime is predominant in phases when economic activities are on a decrease or when institutional changes harm the confidence in the stringency of the EU ETS. This holds during the recession of 2008 and 2009, as well as during 2011 and 2012 when the debt crisis impaired the European economic outlook. © 2013 Elsevier B.V.",EU ETS; EUA price fundamentals; Markov regime-switching,Economic activities; Economic outlook; Energy prices; High volatility; Institutional change; Markov regime-switching; Nonlinear relations; Price fundamentals; Commerce; Economics; Gas emissions; Costs; economic activity; energy market; European Union; macroeconomics; Markov chain; price dynamics; stock market; Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rider M.J., Paucar V.L.",Application of a nonlinear reactive power pricing model for competitive electric markets,2004,50.0,"A methodology for calculating active and reactive power marginal prices is proposed. Attention is given to the reactive power marginal price in a competitive electric market. The formulation adopts a synchronous generators steady-state model with nonlinear reactive power limits. Total cost of reactive power production (CRPP) is represented as a nonlinear model that considers the corresponding economic loss if active power is not generated; that cost is the opportunity cost. The formulation includes the CRPP of the static compensators. The methodology has been implemented using a modified optimal power flow program that includes a sequential linear programming technique enhanced with a modified predictor-corrector interior-point method. The IEEE-30, -57, -118 systems and a reduced configuration of the interconnected (South-Southeast) Brazilian system have been used for application of the methodology. Results demonstrate that the active and reactive power marginal prices give economical signals that could impel even more the participation of agents of competitive reactive power markets.",,Electric industry; Electric rates; Electric utilities; Industrial economics; Quality control; Reactive power; Reliability theory; Energy imbalances; Reactive power marginal prices (RPMP); Reactive power production costs; Electric power systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biegel B., Andersen P., Stoustrup J., Bendtsen J.",Congestion management in a smart grid via shadow prices,2012,48.0,"We consider a distribution grid interconnecting a number of consumers with flexible power consumption. Each consumer is under the jurisdiction of exactly one balancing responsible party (BRP), who buys energy at a day-ahead electricity market on behalf of the consumer. We illustrate how BRPs can utilize the flexibility of the consumers to minimize the imbalance between the consumed and the purchased energy thereby avoiding trading balancing energy at unfavorable prices. Further we show how shadow prices on the distribution lines can be used to resolve grid congestion without information sharing between the BRPs.",Dual composition control; Predictive control; Smart power applications,Commerce; Costs; Electric power system control; Electric power transmission networks; Power control; Power plants; Smart power grids; Congestion management; Day-ahead electricity market; Distribution grid; Distribution lines; Dual composition; Information sharing; Predictive control; Smart power applications; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiang Z., Tan J.",How the removal of energy subsidy affects general price in China: A study based on input-output model,2013,46.0,"In China, most energy prices are controlled by the government and are under-priced, which means energy subsidies existing. Reforming energy subsidies have important implications for sustainable development through their effects on energy price, energy use and CO2 emission. This paper applies a price-gap approach to estimate China's fossil-fuel related subsidies with the consideration of the external cost. Results indicate that the magnitude of subsidies amounted to CNY 1214.24 billion in 2008, equivalent to 4.04% of GDP of that year. Subsidies for oil products are the largest, followed by subsidies for the coal and electricity. Furthermore, an input-output model is used to analyze the impacts of energy subsidies reform on different industries and general price indexes. The findings show that removal of energy subsidies will have significant impact on energy-intensive industry, and consequently push up the general price level, yet with a small variation. Removing oil products subsidies will have the largest impact, followed by electricity, coal and natural gas. However, no matter which energy price increases, PPI is always the most affected, then GDP deflator, with CPI being the least. Corresponding compensation measures should be accordingly designed to offset the negative impact caused by energy subsidies reform. © 2013 Elsevier Ltd.",Energy prices; Energy subsidies; Input-output model,Compensation measures; Energy intensive industries; Energy prices; Energy subsidies; External costs; Input output model; Price-gap approaches; Small variations; Carbon dioxide; Costs; energy efficiency; energy market; fossil fuel; Gross Domestic Product; input-output analysis; numerical model; price determination; price dynamics; subsidy system; sustainable development; China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn J.,Energy prices and the adoption of energy-saving technology,2008,46.0,"This article investigates the link between factor prices, technology and factor demands. Using plant-level data from the Census of Manufactures, I compare the energy intensity of entrants and incumbents from 1967-97. A 10% increase in the price of energy reduces the relative energy intensity of entrants by 1%. The estimate implies that technology adoption by incumbents explains a statistically significant but relatively small fraction of changes in aggregate energy demand in the 1970s and 1980s. Furthermore, entrants'technology adoption can reduce the long run effect of energy prices on growth, but by less than previous research has found. © Journal compilation © 2008 by the Royal Economic Society.",,energy conservation; energy market; energy use; estimation method; price determination; statistical analysis; technology adoption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghoshray A., Johnson B.",Trends in world energy prices,2010,45.0,"The correct identification of the time series path of non-renewable energy resources has far reaching consequences for economists and policymakers alike. This study builds on the existing literature by employing a data series that includes a sample period of institutional change and recently developed unit root testing procedures. Besides crude oil, natural gas and coal prices are also examined, aiming to further the knowledge of non-renewable energy resource time paths in order to inform future research and update the conclusions of past studies. The unit root tests allow for structural breaks and are based on the procedures developed by Zivot and Andrews (1992), Lumsdaine and Papell (1997) and Lee and Strazicich (2003). Finally, we investigate whether the trend changes signs in the regimes which are bounded by the structural breaks and quantify the prevalence of the trends over the sample period considered. The results show that the trend is not well represented by a single positive or negative trend. The variability of the trend suggests that forecasting energy prices should not typically occur about a single trend. © 2010 Elsevier B.V.",Energy prices; Structural breaks; Trends,Data series; Energy prices; Institutional change; Non-renewable energy resources; Policy makers; Structural break; Trends; Unit root; World energies; Coal deposits; Coal research; Costs; Crude oil; Natural gas deposits; Time series; Renewable energy resources; commodity price; energy market; energy resource; structural adjustment; trend analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yoon K.H., Ratti R.A.","Energy price uncertainty, energy intensity and firm investment",2011,44.0,This paper examines the effect of energy price uncertainty on firm-level investment. An error correction model of capital stock adjustment is estimated with data on U.S. manufacturing firms. Higher energy price uncertainty is found to make firms more cautious by reducing the responsiveness of investment to sales growth. The result is robust to consideration of energy intensity by industry. The effect is greater for high growth firms. It must be emphasized that the direct effect of uncertainty is not estimated. Conditional variance of energy price is obtained from a GARCH model. Findings suggest that stability in energy prices would be conducive to greater stability in firm-level investment. © 2010 Elsevier B.V.,Energy intensity; Energy price uncertainty; Firm investment; GMM-IV,Capital stock; Conditional variance; Energy intensity; Energy prices; Error correction models; Firm investment; GARCH models; GMM-IV; High growth; Manufacturing firms; Sales growth; Costs; Industry; Sales; Uncertainty analysis; Investments; energy market; error correction; investment; numerical model; price dynamics; stock market; uncertainty analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
